train episode:0, reward = 0.9138211382113821, state count = 10, state = [15, 28, 38, 87, 97, 122, 131, 132, 144, 159]
train episode:1, reward = 0.8764227642276423, state count = 10, state = [9, 14, 24, 29, 37, 58, 80, 87, 115, 139]
train episode:2, reward = 0.9853658536585366, state count = 10, state = [1, 33, 40, 51, 74, 75, 88, 113, 122, 154]
train episode:3, reward = 0.9861788617886179, state count = 10, state = [24, 36, 41, 48, 75, 96, 136, 154, 155, 159]
train episode:4, reward = 0.9951219512195122, state count = 10, state = [24, 40, 41, 48, 64, 82, 95, 136, 154, 155]
train episode:5, reward = 0.7666666666666667, state count = 10, state = [19, 22, 24, 41, 48, 56, 81, 105, 113, 136]
train episode:6, reward = 0.9609756097560975, state count = 10, state = [24, 41, 48, 66, 74, 115, 124, 136, 154, 156]
train episode:7, reward = 0.9813008130081301, state count = 10, state = [36, 40, 48, 56, 74, 75, 86, 117, 127, 154]
train episode:8, reward = 0.9723577235772358, state count = 10, state = [37, 41, 48, 64, 90, 95, 132, 133, 136, 154]
evaluate episode:0.9, reward = 0.9682926829268292, state count = 10, state = [40, 41, 48, 64, 74, 88, 95, 136, 154, 155]
train episode:9, reward = 0.9520325203252032, state count = 10, state = [18, 24, 36, 41, 46, 48, 88, 113, 136, 154]
train episode:10, reward = 0.9715447154471545, state count = 10, state = [41, 48, 64, 66, 83, 91, 95, 136, 154, 155]
train episode:11, reward = 0.9983739837398374, state count = 10, state = [4, 22, 35, 41, 64, 68, 90, 95, 96, 136]
train episode:12, reward = 0.9504065040650407, state count = 10, state = [27, 41, 48, 87, 100, 111, 115, 136, 154, 159]
train episode:13, reward = 0.9869918699186991, state count = 10, state = [24, 40, 41, 48, 52, 75, 122, 136, 142, 154]
train episode:14, reward = 0.8373983739837398, state count = 8, state = [40, 74, 82, 88, 90, 95, 136, 154]
train episode:15, reward = 0.9715447154471545, state count = 10, state = [41, 48, 74, 80, 95, 104, 120, 130, 136, 154]
train episode:16, reward = 0.7691056910569106, state count = 10, state = [19, 35, 39, 41, 48, 74, 92, 136, 154, 155]
train episode:17, reward = 0.9747967479674797, state count = 10, state = [2, 40, 41, 48, 100, 113, 136, 154, 155, 156]
train episode:18, reward = 0.9642276422764228, state count = 10, state = [41, 48, 56, 74, 88, 120, 134, 136, 154, 155]
evaluate episode:1.9, reward = 0.9666666666666667, state count = 10, state = [41, 48, 64, 88, 95, 115, 136, 154, 155, 156]
train episode:19, reward = 0.9951219512195122, state count = 10, state = [8, 9, 40, 41, 48, 95, 122, 136, 151, 154]
train episode:20, reward = 0.9658536585365853, state count = 10, state = [4, 24, 41, 48, 56, 66, 122, 136, 154, 155]
train episode:21, reward = 0.9617886178861789, state count = 10, state = [40, 41, 48, 85, 88, 95, 122, 136, 154, 155]
train episode:22, reward = 0.9577235772357724, state count = 10, state = [1, 10, 24, 41, 48, 73, 87, 122, 136, 154]
train episode:23, reward = 0.9796747967479674, state count = 10, state = [23, 24, 40, 41, 48, 88, 95, 122, 136, 154]
train episode:24, reward = 0.9780487804878049, state count = 5, state = [41, 48, 67, 136, 154]
train episode:25, reward = 0.9951219512195122, state count = 10, state = [38, 41, 50, 61, 64, 95, 107, 126, 136, 154]
train episode:26, reward = 0.991869918699187, state count = 10, state = [5, 40, 47, 48, 56, 95, 136, 147, 154, 155]
train episode:27, reward = 0.959349593495935, state count = 10, state = [24, 41, 48, 74, 82, 88, 95, 136, 154, 155]
train episode:28, reward = 0.9772357723577236, state count = 10, state = [27, 40, 41, 48, 79, 88, 114, 122, 136, 154]
evaluate episode:2.9, reward = 0.9617886178861789, state count = 10, state = [40, 41, 48, 74, 88, 95, 122, 136, 154, 155]
train episode:29, reward = 0.9853658536585366, state count = 10, state = [40, 41, 48, 58, 90, 122, 124, 136, 154, 161]
train episode:30, reward = 0.9617886178861789, state count = 10, state = [40, 41, 48, 74, 88, 95, 122, 136, 154, 155]
train episode:31, reward = 0.967479674796748, state count = 10, state = [24, 40, 41, 48, 88, 95, 119, 122, 136, 154]
train episode:32, reward = 0.9666666666666667, state count = 10, state = [40, 41, 48, 97, 98, 110, 122, 136, 154, 155]
train episode:33, reward = 0.9691056910569106, state count = 10, state = [24, 27, 41, 48, 73, 98, 122, 134, 136, 154]
train episode:34, reward = 0.9617886178861789, state count = 10, state = [20, 41, 48, 88, 100, 121, 136, 152, 154, 163]
train episode:35, reward = 0.9650406504065041, state count = 10, state = [3, 8, 41, 42, 48, 90, 95, 102, 136, 154]
train episode:36, reward = 0.7691056910569106, state count = 10, state = [11, 13, 19, 41, 48, 79, 85, 122, 136, 154]
train episode:37, reward = 0.9943089430894309, state count = 10, state = [1, 24, 40, 41, 48, 95, 120, 122, 136, 154]
train episode:38, reward = 0.9959349593495935, state count = 10, state = [40, 41, 48, 54, 94, 95, 122, 136, 153, 154]
evaluate episode:3.9, reward = 0.9617886178861789, state count = 10, state = [24, 40, 41, 48, 88, 95, 122, 136, 154, 155]
train episode:39, reward = 0.9959349593495935, state count = 10, state = [36, 40, 41, 48, 70, 95, 118, 122, 136, 154]
train episode:40, reward = 0.9650406504065041, state count = 10, state = [24, 40, 41, 48, 88, 92, 95, 122, 136, 154]
train episode:41, reward = 0.9934959349593496, state count = 10, state = [4, 12, 18, 24, 33, 48, 60, 122, 136, 154]
train episode:42, reward = 0.9764227642276423, state count = 10, state = [41, 48, 51, 90, 92, 101, 120, 122, 136, 154]
train episode:43, reward = 0.9943089430894309, state count = 10, state = [2, 22, 41, 48, 122, 124, 136, 139, 154, 156]
train episode:44, reward = 0.9975609756097561, state count = 10, state = [22, 40, 41, 48, 118, 122, 130, 136, 143, 154]
train episode:45, reward = 0.9617886178861789, state count = 10, state = [24, 40, 41, 48, 88, 95, 122, 136, 154, 156]
train episode:46, reward = 0.9617886178861789, state count = 10, state = [24, 40, 41, 48, 71, 88, 95, 122, 136, 154]
train episode:47, reward = 0.9617886178861789, state count = 10, state = [11, 40, 41, 48, 87, 105, 122, 136, 151, 154]
train episode:48, reward = 0.9951219512195122, state count = 10, state = [40, 41, 48, 51, 78, 95, 120, 122, 136, 154]
evaluate episode:4.9, reward = 0.9617886178861789, state count = 10, state = [24, 40, 41, 48, 88, 95, 122, 136, 154, 155]
train episode:49, reward = 0.9626016260162602, state count = 10, state = [24, 40, 41, 48, 88, 122, 136, 147, 154, 163]
train episode:50, reward = 0.9691056910569106, state count = 10, state = [40, 41, 48, 66, 95, 122, 134, 136, 154, 155]
train episode:51, reward = 0.9682926829268292, state count = 10, state = [16, 40, 41, 48, 88, 105, 119, 122, 136, 154]
train episode:52, reward = 0.9739837398373984, state count = 10, state = [24, 40, 41, 48, 71, 122, 124, 136, 154, 163]
train episode:53, reward = 0.9943089430894309, state count = 10, state = [13, 24, 40, 41, 48, 95, 122, 130, 136, 154]
train episode:54, reward = 0.9943089430894309, state count = 5, state = [17, 48, 122, 136, 154]
train episode:55, reward = 0.9634146341463414, state count = 10, state = [40, 41, 48, 49, 88, 95, 122, 136, 154, 158]
train episode:56, reward = 0.9943089430894309, state count = 10, state = [24, 40, 41, 48, 72, 95, 122, 130, 136, 154]
train episode:57, reward = 0.9739837398373984, state count = 10, state = [41, 48, 63, 70, 117, 122, 134, 136, 153, 154]
train episode:58, reward = 0.9951219512195122, state count = 10, state = [13, 40, 41, 48, 52, 96, 122, 128, 136, 154]
evaluate episode:5.9, reward = 0.9617886178861789, state count = 10, state = [24, 40, 41, 48, 88, 95, 122, 136, 154, 155]
train episode:59, reward = 0.9585365853658536, state count = 10, state = [40, 41, 48, 95, 98, 111, 122, 136, 147, 154]
train episode:60, reward = 0.9609756097560975, state count = 10, state = [40, 41, 48, 85, 95, 114, 122, 136, 154, 158]
train episode:61, reward = 0.9943089430894309, state count = 10, state = [1, 40, 41, 48, 98, 122, 136, 154, 159, 161]
train episode:62, reward = 0.9585365853658536, state count = 10, state = [24, 40, 41, 48, 53, 104, 111, 122, 136, 154]
train episode:63, reward = 0.9577235772357724, state count = 10, state = [40, 41, 44, 45, 48, 95, 99, 122, 136, 154]
train episode:64, reward = 0.9617886178861789, state count = 10, state = [24, 40, 41, 48, 85, 88, 95, 122, 136, 154]
train episode:65, reward = 0.9617886178861789, state count = 10, state = [9, 40, 41, 48, 74, 89, 95, 122, 136, 154]
train episode:66, reward = 0.9609756097560975, state count = 10, state = [24, 40, 41, 48, 77, 88, 95, 122, 136, 154]
train episode:67, reward = 0.9691056910569106, state count = 10, state = [10, 24, 40, 41, 48, 66, 104, 122, 136, 154]
train episode:68, reward = 0.9934959349593496, state count = 10, state = [24, 40, 41, 44, 48, 95, 122, 129, 136, 154]
evaluate episode:6.9, reward = 0.959349593495935, state count = 10, state = [24, 40, 41, 48, 73, 88, 95, 122, 136, 154]
train episode:69, reward = 0.9934959349593496, state count = 10, state = [26, 41, 48, 63, 117, 122, 128, 136, 137, 154]
train episode:70, reward = 0.9926829268292683, state count = 10, state = [13, 24, 40, 41, 48, 99, 122, 123, 136, 154]
train episode:71, reward = 0.9951219512195122, state count = 10, state = [11, 24, 40, 41, 48, 95, 105, 122, 136, 154]
train episode:72, reward = 0.989430894308943, state count = 10, state = [14, 17, 31, 40, 41, 48, 115, 122, 136, 154]
train episode:73, reward = 0.9617886178861789, state count = 10, state = [6, 29, 40, 41, 48, 60, 122, 136, 147, 154]
train episode:74, reward = 0.9878048780487805, state count = 10, state = [40, 41, 48, 70, 73, 103, 122, 136, 154, 161]
train episode:75, reward = 0.9975609756097561, state count = 10, state = [22, 24, 40, 41, 48, 95, 108, 122, 136, 154]
train episode:76, reward = 0.9951219512195122, state count = 10, state = [24, 40, 41, 48, 64, 95, 122, 127, 136, 154]
train episode:77, reward = 0.9886178861788618, state count = 10, state = [24, 40, 41, 48, 56, 86, 95, 122, 136, 154]
train episode:78, reward = 0.9691056910569106, state count = 10, state = [24, 40, 41, 48, 66, 100, 122, 136, 154, 156]
evaluate episode:7.9, reward = 0.9853658536585366, state count = 10, state = [24, 40, 41, 48, 56, 73, 95, 122, 136, 154]
train episode:79, reward = 0.9609756097560975, state count = 10, state = [24, 27, 28, 36, 40, 41, 48, 122, 136, 154]
train episode:80, reward = 0.9699186991869919, state count = 10, state = [24, 40, 41, 48, 56, 60, 104, 122, 136, 154]
train episode:81, reward = 0.9585365853658536, state count = 10, state = [24, 40, 41, 48, 73, 91, 104, 122, 136, 154]
train episode:82, reward = 0.9869918699186991, state count = 10, state = [24, 40, 41, 48, 73, 82, 95, 122, 136, 154]
train episode:83, reward = 0.9878048780487805, state count = 10, state = [24, 40, 41, 48, 73, 84, 95, 122, 136, 154]
train episode:84, reward = 0.9951219512195122, state count = 10, state = [13, 23, 40, 41, 48, 50, 122, 136, 143, 154]
train episode:85, reward = 0.9959349593495935, state count = 10, state = [6, 23, 41, 48, 76, 100, 122, 128, 136, 154]
train episode:86, reward = 0.9878048780487805, state count = 10, state = [18, 24, 40, 41, 48, 73, 115, 122, 136, 154]
train episode:87, reward = 0.9747967479674797, state count = 6, state = [41, 48, 122, 129, 136, 154]
train episode:88, reward = 0.7682926829268293, state count = 10, state = [2, 18, 19, 24, 27, 48, 77, 87, 122, 136]
evaluate episode:8.9, reward = 0.9853658536585366, state count = 10, state = [24, 40, 41, 48, 56, 73, 95, 122, 136, 154]
train episode:89, reward = 0.9520325203252032, state count = 10, state = [24, 31, 40, 41, 48, 103, 122, 136, 154, 157]
train episode:90, reward = 0.9853658536585366, state count = 10, state = [24, 40, 41, 48, 56, 73, 122, 136, 154, 157]
train episode:91, reward = 0.9601626016260163, state count = 10, state = [40, 41, 48, 87, 122, 126, 129, 136, 140, 154]
train episode:92, reward = 0.9869918699186991, state count = 10, state = [24, 40, 41, 48, 73, 82, 95, 122, 136, 154]
train episode:93, reward = 0.9861788617886179, state count = 10, state = [24, 40, 41, 48, 73, 103, 122, 126, 136, 154]
train episode:94, reward = 0.9747967479674797, state count = 10, state = [36, 41, 48, 51, 57, 65, 122, 136, 143, 161]
train episode:95, reward = 0.9983739837398374, state count = 10, state = [17, 21, 26, 27, 41, 44, 48, 122, 136, 147]
train episode:96, reward = 0.991869918699187, state count = 10, state = [40, 41, 48, 122, 126, 133, 136, 137, 154, 156]
train episode:97, reward = 0.9747967479674797, state count = 10, state = [24, 25, 40, 41, 48, 83, 112, 122, 136, 154]
train episode:98, reward = 0.9934959349593496, state count = 10, state = [40, 41, 42, 48, 122, 130, 136, 137, 151, 154]
evaluate episode:9.9, reward = 0.9878048780487805, state count = 10, state = [24, 40, 41, 48, 73, 105, 122, 136, 154, 155]
