max = 10, decision tree, 10folds
train episode:0, reward = 0.9963414600559707, state count = 10, state = [33, 34, 61, 64, 70, 88, 98, 99, 105, 134]
train episode:1, reward = 0.979878031987171, state count = 10, state = [1, 3, 35, 48, 105, 127, 129, 130, 154, 168]
train episode:2, reward = 0.9851638266984786, state count = 10, state = [13, 19, 34, 53, 60, 75, 91, 102, 144, 156]
train episode:3, reward = 0.9969524546606475, state count = 10, state = [33, 34, 58, 59, 60, 123, 130, 139, 163, 169]
train episode:4, reward = 0.9981707300279853, state count = 10, state = [34, 49, 54, 66, 100, 101, 109, 147, 156, 163]
train episode:5, reward = 0.9985772340930261, state count = 10, state = [7, 10, 15, 25, 33, 34, 60, 96, 105, 163]
train episode:6, reward = 0.999186990190587, state count = 10, state = [15, 33, 34, 45, 54, 59, 60, 117, 132, 163]
train episode:7, reward = 0.997358134173832, state count = 9, state = [15, 33, 34, 59, 60, 149, 155, 159, 163]
train episode:8, reward = 0.9989837381580667, state count = 10, state = [33, 34, 54, 55, 60, 61, 70, 103, 105, 163]
evaluate episode:0.9, reward = 0.9993898299471793, state count = 10, state = [15, 16, 25, 33, 34, 59, 61, 155, 159, 163]
train episode:9, reward = 0.9892268110072401, state count = 10, state = [4, 12, 27, 60, 76, 116, 124, 142, 144, 163]
train episode:10, reward = 0.9969516284294597, state count = 10, state = [15, 25, 33, 34, 64, 105, 129, 145, 155, 156]
train episode:11, reward = 0.9967479624416798, state count = 9, state = [4, 34, 54, 100, 101, 103, 109, 143, 163]
train episode:12, reward = 0.997358134173832, state count = 10, state = [10, 13, 15, 33, 34, 59, 60, 114, 159, 163]
train episode:13, reward = 0.9989837381580667, state count = 10, state = [3, 4, 33, 34, 51, 54, 60, 105, 132, 163]
train episode:14, reward = 0.9977646382388727, state count = 10, state = [15, 16, 33, 34, 59, 155, 159, 163, 169, 180]
train episode:15, reward = 0.9993898299471793, state count = 10, state = [10, 15, 16, 25, 33, 34, 59, 155, 159, 163]
train episode:16, reward = 0.9983743943364336, state count = 10, state = [10, 15, 16, 33, 34, 43, 59, 155, 159, 163]
train episode:17, reward = 0.9965459489162752, state count = 10, state = [3, 10, 15, 33, 34, 143, 155, 159, 163, 168]
train episode:18, reward = 0.9967492009487955, state count = 10, state = [4, 8, 15, 33, 34, 125, 137, 155, 159, 163]
evaluate episode:1.9, reward = 0.9993898299471793, state count = 10, state = [10, 15, 16, 25, 33, 34, 59, 155, 159, 163]
train episode:19, reward = 0.9995930819796996, state count = 10, state = [15, 25, 33, 34, 51, 54, 59, 60, 103, 163]
train episode:20, reward = 0.9979666517642773, state count = 10, state = [25, 34, 49, 59, 91, 96, 106, 116, 155, 163]
train episode:21, reward = 0.9993898299471793, state count = 10, state = [3, 10, 15, 25, 33, 34, 54, 71, 105, 170]
train episode:22, reward = 0.9975617984822804, state count = 7, state = [10, 33, 34, 60, 75, 159, 163]
train episode:23, reward = 0.9981707283486536, state count = 10, state = [3, 10, 16, 33, 34, 59, 112, 155, 159, 163]
train episode:24, reward = 0.997358134173832, state count = 10, state = [3, 15, 33, 34, 59, 60, 72, 132, 142, 163]
train episode:25, reward = 0.9983743943364336, state count = 10, state = [3, 10, 33, 34, 51, 59, 60, 68, 163, 168]
train episode:26, reward = 0.9975617984822804, state count = 10, state = [3, 4, 10, 33, 34, 60, 105, 127, 159, 163]
train episode:27, reward = 0.9981707283486536, state count = 10, state = [4, 8, 33, 34, 42, 59, 60, 90, 163, 175]
train episode:28, reward = 0.9971540542307924, state count = 10, state = [10, 15, 33, 34, 43, 53, 59, 155, 159, 163]
evaluate episode:2.9, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 60, 155, 159, 163]
train episode:29, reward = 0.9975613862063524, state count = 10, state = [3, 4, 10, 33, 34, 59, 108, 158, 159, 163]
train episode:30, reward = 0.9975613862063524, state count = 10, state = [13, 15, 33, 34, 50, 59, 86, 100, 105, 163]
train episode:31, reward = 0.9993906561783671, state count = 10, state = [15, 16, 26, 33, 34, 39, 69, 153, 155, 163]
train episode:32, reward = 0.9977642242836129, state count = 10, state = [16, 33, 34, 44, 59, 129, 155, 159, 163, 174]
train episode:33, reward = 0.9973585464497601, state count = 10, state = [10, 20, 32, 33, 34, 60, 65, 70, 77, 163]
train episode:34, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 60, 155, 159, 163]
train episode:35, reward = 0.997358134173832, state count = 10, state = [15, 33, 34, 59, 72, 138, 155, 159, 163, 169]
train episode:36, reward = 0.9975613862063524, state count = 10, state = [3, 33, 34, 59, 95, 116, 127, 159, 163, 172]
train episode:37, reward = 0.9979683025473213, state count = 10, state = [3, 10, 15, 33, 34, 38, 48, 111, 159, 163]
train episode:38, reward = 0.9975613862063524, state count = 10, state = [10, 15, 33, 34, 59, 125, 138, 155, 159, 163]
evaluate episode:3.9, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 60, 155, 159, 163]
train episode:39, reward = 0.9975613862063524, state count = 10, state = [10, 15, 33, 34, 53, 59, 74, 155, 159, 163]
train episode:40, reward = 0.9975613862063524, state count = 10, state = [15, 33, 34, 49, 59, 125, 155, 159, 163, 181]
train episode:41, reward = 0.9989837398373984, state count = 10, state = [3, 10, 15, 33, 34, 40, 49, 59, 159, 163]
train episode:42, reward = 0.9981711423039135, state count = 10, state = [10, 15, 16, 33, 34, 111, 125, 159, 163, 165]
train episode:43, reward = 0.9977646382388727, state count = 10, state = [3, 33, 34, 55, 59, 64, 154, 155, 163, 172]
train episode:44, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 101, 155, 159, 163]
train episode:45, reward = 0.9977646382388727, state count = 10, state = [12, 15, 31, 33, 34, 49, 59, 90, 129, 163]
train episode:46, reward = 0.9977658750666569, state count = 10, state = [3, 10, 11, 15, 33, 34, 48, 155, 159, 163]
train episode:47, reward = 0.9977646382388727, state count = 10, state = [3, 10, 15, 33, 34, 48, 59, 155, 159, 163]
train episode:48, reward = 0.9975613862063524, state count = 10, state = [10, 15, 33, 34, 59, 140, 153, 155, 159, 163]
evaluate episode:4.9, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 60, 155, 159, 163]
train episode:49, reward = 0.9963431108390145, state count = 10, state = [10, 15, 33, 34, 55, 154, 155, 159, 163, 178]
train episode:50, reward = 0.997764636559541, state count = 10, state = [15, 33, 34, 38, 43, 102, 108, 155, 159, 163]
train episode:51, reward = 0.9975609722510926, state count = 10, state = [3, 10, 15, 33, 34, 43, 59, 155, 159, 163]
train episode:52, reward = 0.9993902422231074, state count = 10, state = [10, 15, 33, 34, 47, 56, 146, 155, 159, 163]
train episode:53, reward = 0.9981694898415381, state count = 10, state = [10, 15, 25, 33, 34, 89, 111, 155, 159, 163]
train episode:54, reward = 0.997967890271393, state count = 10, state = [10, 15, 31, 33, 34, 56, 93, 155, 159, 163]
train episode:55, reward = 0.9969512161535317, state count = 10, state = [10, 15, 33, 34, 64, 113, 155, 157, 159, 163]
train episode:56, reward = 0.9975613862063524, state count = 10, state = [10, 11, 15, 33, 34, 59, 97, 155, 162, 163]
