max = 5, decision tree, 10folds
train episode:0, reward = 0.9892284601109521, state count = 5, state = [27, 33, 60, 110, 128]
train episode:1, reward = 0.9369905843902963, state count = 5, state = [8, 31, 111, 125, 175]
train episode:2, reward = 0.9833320830708958, state count = 5, state = [38, 74, 118, 124, 176]
train episode:3, reward = 0.9802849516868031, state count = 5, state = [1, 6, 38, 118, 173]
train episode:4, reward = 0.9264251807859333, state count = 5, state = [30, 31, 106, 170, 179]
train episode:5, reward = 0.9969516317881231, state count = 5, state = [1, 11, 26, 168, 183]
train episode:6, reward = 0.8892275465545169, state count = 5, state = [3, 103, 118, 173, 179]
train episode:7, reward = 0.9128089353141251, state count = 5, state = [44, 49, 118, 153, 173]
train episode:8, reward = 0.8813011211654939, state count = 5, state = [72, 107, 118, 142, 173]
evaluate episode:0.9, reward = 0.9130097069737506, state count = 5, state = [49, 59, 103, 118, 173]
train episode:9, reward = 0.9148393925803566, state count = 5, state = [7, 59, 118, 173, 177]
train episode:10, reward = 0.9863821054244799, state count = 5, state = [36, 103, 118, 173, 183]
train episode:11, reward = 0.9130097069737506, state count = 5, state = [49, 59, 103, 118, 173]
train episode:12, reward = 0.9542707411485198, state count = 5, state = [31, 93, 95, 109, 168]
train episode:13, reward = 0.881505199429202, state count = 5, state = [103, 118, 151, 173, 177]
train episode:14, reward = 0.9148431013843771, state count = 5, state = [59, 103, 118, 173, 183]
train episode:15, reward = 0.9355702938182222, state count = 5, state = [59, 80, 103, 118, 173]
train episode:16, reward = 0.9323194897290227, state count = 5, state = [59, 103, 114, 118, 173]
train episode:17, reward = 0.9953227195204741, state count = 5, state = [22, 103, 118, 168, 173]
train episode:18, reward = 0.879473089700595, state count = 5, state = [103, 116, 118, 173, 177]
evaluate episode:1.9, reward = 0.8892275465545169, state count = 5, state = [3, 103, 118, 173, 179]
train episode:19, reward = 0.9109755375448353, state count = 5, state = [103, 118, 140, 168, 179]
train episode:20, reward = 0.8579333165265819, state count = 5, state = [5, 118, 138, 177, 182]
train episode:21, reward = 0.9313003402762613, state count = 5, state = [39, 57, 118, 168, 169]
train episode:22, reward = 0.9524426912109725, state count = 5, state = [18, 103, 118, 173, 183]
train episode:23, reward = 0.8892275465545169, state count = 5, state = [3, 103, 118, 173, 179]
train episode:24, reward = 0.9493864830391361, state count = 5, state = [11, 61, 102, 168, 173]
train episode:25, reward = 0.9136169877364116, state count = 5, state = [10, 103, 118, 168, 173]
train episode:26, reward = 0.8892275465545169, state count = 5, state = [3, 103, 118, 173, 179]
train episode:27, reward = 0.9487804525389126, state count = 5, state = [103, 110, 152, 168, 175]
train episode:28, reward = 0.9221564741477467, state count = 5, state = [103, 109, 118, 128, 173]
evaluate episode:2.9, reward = 0.8892275465545169, state count = 5, state = [3, 103, 118, 173, 179]
train episode:29, reward = 0.9097580884086852, state count = 5, state = [59, 96, 118, 173, 181]
train episode:30, reward = 0.8502027154860479, state count = 5, state = [31, 103, 118, 138, 177]
train episode:31, reward = 0.8892275465545169, state count = 5, state = [3, 103, 118, 173, 179]
train episode:32, reward = 0.8892275465545169, state count = 5, state = [3, 103, 118, 173, 179]
train episode:33, reward = 0.8892275465545169, state count = 5, state = [3, 103, 118, 173, 179]
train episode:34, reward = 0.6335379523418432, state count = 5, state = [4, 35, 85, 101, 118]
train episode:35, reward = 0.9955280379706298, state count = 5, state = [47, 59, 103, 118, 173]
train episode:36, reward = 0.9390272257954482, state count = 5, state = [49, 103, 114, 168, 173]
train episode:37, reward = 0.9168677884669478, state count = 5, state = [51, 103, 118, 165, 173]
train episode:38, reward = 0.889431624818225, state count = 4, state = [3, 103, 118, 173]
evaluate episode:3.9, reward = 0.9148431013843771, state count = 5, state = [59, 103, 118, 173, 183]
train episode:39, reward = 0.8819145944637338, state count = 5, state = [9, 34, 118, 141, 173]
train episode:40, reward = 0.9148431013843771, state count = 5, state = [59, 103, 118, 173, 183]
train episode:41, reward = 0.9154462560290947, state count = 5, state = [11, 103, 156, 168, 173]
train episode:42, reward = 0.8908543823285404, state count = 5, state = [103, 118, 133, 173, 177]
train episode:43, reward = 0.9142271577892324, state count = 5, state = [11, 103, 151, 168, 179]
train episode:44, reward = 0.9302824310099476, state count = 5, state = [64, 103, 118, 168, 173]
train episode:45, reward = 0.8800828474774877, state count = 5, state = [8, 11, 103, 118, 173]
train episode:46, reward = 0.9119913837521771, state count = 5, state = [103, 118, 122, 168, 173]
train episode:47, reward = 0.8920784446728561, state count = 5, state = [30, 103, 118, 173, 183]
train episode:48, reward = 0.9148431013843771, state count = 5, state = [59, 103, 118, 173, 183]
evaluate episode:4.9, reward = 0.9148431013843771, state count = 5, state = [59, 103, 118, 173, 183]
