max = 6, decision tree, 10folds
train episode:0, reward = 0.937395427596303, state count = 6, state = [64, 65, 137, 159, 172, 180]
train episode:1, reward = 0.9987800721702866, state count = 6, state = [3, 19, 25, 98, 140, 148]
train episode:2, reward = 0.8662571607962437, state count = 6, state = [1, 19, 124, 127, 141, 151]
train episode:3, reward = 0.7845547507302488, state count = 6, state = [1, 19, 100, 124, 127, 141]
train episode:4, reward = 0.9636153755779965, state count = 6, state = [28, 66, 77, 82, 151, 176]
train episode:5, reward = 0.8918747921197294, state count = 6, state = [28, 30, 51, 140, 148, 178]
train episode:6, reward = 0.9815065286202286, state count = 6, state = [24, 35, 68, 97, 150, 151]
train episode:7, reward = 0.9776430858606352, state count = 6, state = [28, 29, 66, 77, 140, 151]
train episode:8, reward = 0.8388317448702883, state count = 6, state = [15, 81, 140, 144, 158, 182]
evaluate episode:0.9, reward = 0.9788601210415253, state count = 6, state = [28, 66, 77, 109, 140, 151]
train episode:9, reward = 0.9934946880555753, state count = 6, state = [22, 28, 138, 140, 172, 174]
train episode:10, reward = 0.9788601210415253, state count = 6, state = [28, 66, 77, 109, 140, 151]
train episode:11, reward = 0.9894312998675444, state count = 6, state = [19, 45, 76, 140, 148, 151]
train episode:12, reward = 0.9788601210415253, state count = 6, state = [28, 66, 77, 109, 140, 151]
train episode:13, reward = 0.8463396900403776, state count = 6, state = [5, 19, 50, 138, 139, 181]
train episode:14, reward = 0.9865853574570002, state count = 6, state = [28, 36, 77, 135, 140, 151]
train episode:15, reward = 0.9479653662358742, state count = 6, state = [12, 28, 66, 77, 140, 151]
train episode:16, reward = 0.9477600494650507, state count = 6, state = [28, 66, 73, 77, 140, 151]
train episode:17, reward = 0.7420754193568301, state count = 6, state = [24, 35, 77, 84, 140, 151]
train episode:18, reward = 0.9953227195204741, state count = 6, state = [22, 49, 50, 55, 140, 150]
evaluate episode:1.9, reward = 0.9788601210415253, state count = 6, state = [28, 66, 77, 109, 140, 151]
train episode:19, reward = 0.9000061136069899, state count = 6, state = [19, 28, 51, 140, 148, 151]
train episode:20, reward = 0.9623983420764379, state count = 6, state = [64, 66, 111, 140, 151, 175]
train episode:21, reward = 0.8686986722767092, state count = 6, state = [24, 29, 35, 77, 140, 159]
train episode:22, reward = 0.9953227195204741, state count = 6, state = [17, 61, 140, 147, 151, 159]
train episode:23, reward = 0.9518279844436117, state count = 6, state = [28, 34, 66, 77, 140, 151]
train episode:24, reward = 0.9760170612038142, state count = 6, state = [28, 66, 109, 115, 140, 141]
train episode:25, reward = 0.9835361596552723, state count = 6, state = [28, 39, 64, 66, 109, 172]
train episode:26, reward = 0.9136202993784893, state count = 6, state = [12, 28, 77, 97, 140, 151]
train episode:27, reward = 0.9979678919507247, state count = 6, state = [19, 47, 64, 66, 111, 151]
train episode:28, reward = 0.9788601210415253, state count = 6, state = [28, 66, 77, 109, 140, 151]
evaluate episode:2.9, reward = 0.9788601210415253, state count = 6, state = [28, 66, 77, 109, 140, 151]
train episode:29, reward = 0.9544698553077747, state count = 6, state = [28, 66, 77, 140, 151, 177]
train episode:30, reward = 0.9717479406103677, state count = 6, state = [28, 66, 77, 140, 151, 168]
train episode:31, reward = 0.9524393963622115, state count = 6, state = [19, 28, 66, 77, 140, 151]
train episode:32, reward = 0.9489828682642554, state count = 6, state = [28, 66, 77, 140, 151, 159]
train episode:33, reward = 0.8378096926927139, state count = 6, state = [28, 64, 116, 123, 129, 141]
train episode:34, reward = 0.9138256195079766, state count = 6, state = [28, 49, 87, 120, 140, 141]
train episode:35, reward = 0.9469482781627534, state count = 6, state = [28, 66, 77, 117, 140, 151]
train episode:36, reward = 0.9544715094494818, state count = 6, state = [7, 28, 61, 77, 140, 151]
train episode:37, reward = 0.9961361416058152, state count = 6, state = [22, 28, 66, 101, 140, 151]
train episode:38, reward = 0.9662588955458716, state count = 6, state = [28, 55, 66, 77, 140, 151]
