max = 8, decision tree, 10folds
train episode:0, reward = 0.9869918564840457, state count = 8, state = [48, 56, 72, 79, 137, 141, 158, 159]
train episode:1, reward = 0.9619918380113972, state count = 8, state = [3, 45, 87, 92, 113, 116, 122, 158]
train episode:2, reward = 0.9747954876290521, state count = 8, state = [1, 18, 65, 87, 90, 125, 132, 170]
train episode:3, reward = 0.9471502950468214, state count = 8, state = [1, 56, 69, 77, 133, 141, 155, 158]
train episode:4, reward = 0.9853646000374356, state count = 8, state = [38, 56, 87, 101, 133, 152, 158, 159]
train episode:5, reward = 0.9788601210415255, state count = 8, state = [2, 5, 6, 8, 38, 87, 158, 174]
train episode:6, reward = 0.9985776480482859, state count = 8, state = [8, 21, 26, 56, 68, 87, 132, 158]
train episode:7, reward = 0.992069857410298, state count = 8, state = [8, 25, 56, 87, 102, 158, 159, 180]
train episode:8, reward = 0.995527211739442, state count = 8, state = [25, 56, 69, 103, 110, 155, 158, 171]
evaluate episode:0.9, reward = 0.996951219512195, state count = 8, state = [8, 26, 87, 97, 106, 122, 158, 177]
train episode:9, reward = 0.9493864830391361, state count = 8, state = [8, 61, 100, 136, 158, 159, 167, 177]
train episode:10, reward = 0.9979674779954649, state count = 8, state = [1, 16, 56, 61, 89, 94, 158, 183]
train episode:11, reward = 0.9130035161175034, state count = 8, state = [41, 81, 95, 137, 157, 158, 159, 174]
train episode:12, reward = 0.9989837398373984, state count = 8, state = [8, 18, 26, 87, 91, 102, 158, 163]
train episode:13, reward = 0.9611808979782828, state count = 8, state = [11, 56, 72, 87, 92, 97, 158, 166]
train episode:14, reward = 0.9977642276422765, state count = 8, state = [2, 26, 60, 65, 72, 87, 114, 183]
train episode:15, reward = 0.9979674779954649, state count = 8, state = [26, 39, 72, 75, 125, 138, 158, 170]
train episode:16, reward = 0.9985772357723578, state count = 8, state = [2, 18, 26, 72, 87, 97, 116, 158]
train episode:17, reward = 0.9983743960157655, state count = 8, state = [8, 26, 56, 87, 97, 158, 160, 170]
train episode:18, reward = 0.9402384773580243, state count = 8, state = [56, 71, 72, 87, 125, 136, 158, 170]
evaluate episode:1.9, reward = 0.9985772357723578, state count = 8, state = [18, 26, 38, 87, 136, 158, 174, 177]
train episode:19, reward = 0.9983739837398374, state count = 8, state = [18, 26, 38, 87, 122, 158, 174, 177]
train episode:20, reward = 0.973372721722078, state count = 8, state = [8, 55, 56, 61, 91, 143, 158, 159]
train episode:21, reward = 0.9981707317073172, state count = 8, state = [11, 18, 26, 38, 57, 87, 137, 158]
train episode:22, reward = 0.9993898299471793, state count = 8, state = [17, 26, 43, 69, 72, 87, 116, 158]
train episode:23, reward = 0.9331258913682653, state count = 8, state = [8, 72, 87, 97, 158, 170, 171, 174]
train episode:24, reward = 0.9660564697445391, state count = 8, state = [19, 56, 87, 133, 158, 159, 170, 174]
train episode:25, reward = 0.9441039898939163, state count = 8, state = [18, 51, 86, 87, 97, 100, 106, 158]
train episode:26, reward = 0.8422762850590297, state count = 8, state = [13, 49, 87, 127, 128, 141, 158, 159]
train episode:27, reward = 0.9847560824469905, state count = 8, state = [48, 56, 79, 117, 123, 144, 158, 174]
train episode:28, reward = 0.9963414634146341, state count = 8, state = [8, 26, 39, 72, 87, 116, 158, 170]
evaluate episode:2.9, reward = 0.9963414634146341, state count = 8, state = [8, 26, 39, 72, 87, 116, 158, 170]
train episode:29, reward = 0.9601617418081949, state count = 8, state = [6, 35, 56, 73, 87, 158, 159, 174]
train episode:30, reward = 0.9991874041458468, state count = 8, state = [8, 26, 56, 136, 143, 145, 158, 159]
train episode:31, reward = 0.9729666299329655, state count = 8, state = [12, 35, 42, 56, 62, 87, 158, 174]
train episode:32, reward = 0.9985772357723578, state count = 8, state = [18, 26, 72, 87, 97, 123, 158, 174]
train episode:33, reward = 0.9447154085298429, state count = 8, state = [28, 35, 50, 56, 87, 97, 139, 158]
train episode:34, reward = 0.9973581358531638, state count = 8, state = [8, 19, 26, 72, 87, 95, 97, 158]
train episode:35, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 87, 94, 137, 158, 174]
train episode:36, reward = 0.9973573062633128, state count = 8, state = [18, 26, 31, 33, 87, 97, 158, 174]
train episode:37, reward = 0.9983743960157655, state count = 8, state = [12, 26, 56, 87, 94, 153, 158, 170]
train episode:38, reward = 0.9989841521133265, state count = 8, state = [23, 26, 56, 72, 87, 158, 170, 174]
evaluate episode:3.9, reward = 0.9983739837398374, state count = 8, state = [18, 26, 72, 87, 97, 116, 158, 174]
