train episode:0, reward = 0.5113821138211382, state count = 1, state = [106]
train episode:1, reward = 0.9016260162601626, state count = 5, state = [41, 44, 101, 115, 123]
train episode:2, reward = 0.9617886178861789, state count = 5, state = [27, 29, 34, 41, 70]
train episode:3, reward = 0.8016260162601626, state count = 5, state = [1, 28, 41, 53, 136]
train episode:4, reward = 0.8455284552845529, state count = 5, state = [1, 28, 41, 60, 118]
train episode:5, reward = 0.802439024390244, state count = 5, state = [1, 28, 41, 118, 146]
train episode:6, reward = 0.8821138211382114, state count = 5, state = [1, 28, 41, 55, 145]
train episode:7, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:8, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
evaluate episode:0.9, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:9, reward = 0.948780487804878, state count = 5, state = [3, 27, 110, 146, 158]
train episode:10, reward = 0.8699186991869918, state count = 5, state = [24, 28, 88, 95, 96]
train episode:11, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:12, reward = 0.9479674796747968, state count = 5, state = [27, 43, 88, 98, 99]
train episode:13, reward = 0.8772357723577235, state count = 5, state = [15, 28, 43, 72, 90]
train episode:14, reward = 0.9495934959349593, state count = 5, state = [27, 86, 98, 138, 139]
train episode:15, reward = 0.9040650406504065, state count = 5, state = [28, 43, 46, 90, 122]
train episode:16, reward = 0.8804878048780488, state count = 5, state = [28, 43, 49, 90, 146]
train episode:17, reward = 0.9707317073170731, state count = 5, state = [27, 28, 43, 90, 133]
train episode:18, reward = 0.8813008130081301, state count = 5, state = [28, 43, 88, 99, 122]
evaluate episode:1.9, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:19, reward = 0.948780487804878, state count = 5, state = [27, 53, 93, 141, 146]
train episode:20, reward = 0.959349593495935, state count = 5, state = [27, 28, 90, 104, 146]
train episode:21, reward = 0.8813008130081301, state count = 5, state = [15, 28, 43, 90, 136]
train episode:22, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:23, reward = 0.989430894308943, state count = 5, state = [15, 25, 28, 43, 69]
train episode:24, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:25, reward = 0.9536585365853658, state count = 5, state = [3, 27, 73, 127, 146]
train episode:26, reward = 0.8016260162601626, state count = 5, state = [15, 43, 73, 90, 122]
train episode:27, reward = 0.8861788617886179, state count = 5, state = [15, 43, 58, 90, 145]
train episode:28, reward = 0.808130081300813, state count = 5, state = [28, 43, 122, 127, 146]
evaluate episode:2.9, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:29, reward = 0.948780487804878, state count = 5, state = [15, 27, 118, 146, 151]
train episode:30, reward = 0.9609756097560975, state count = 5, state = [27, 32, 46, 121, 141]
train episode:31, reward = 0.7845528455284553, state count = 5, state = [15, 28, 43, 129, 161]
train episode:32, reward = 0.9951219512195122, state count = 5, state = [15, 28, 43, 47, 90]
train episode:33, reward = 0.9829268292682927, state count = 5, state = [16, 27, 67, 90, 122]
train episode:34, reward = 0.8170731707317073, state count = 5, state = [15, 37, 43, 90, 122]
train episode:35, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:36, reward = 0.926829268292683, state count = 5, state = [28, 43, 75, 122, 125]
train episode:37, reward = 0.9926829268292683, state count = 5, state = [15, 28, 40, 43, 122]
train episode:38, reward = 0.9073170731707317, state count = 5, state = [15, 28, 43, 59, 122]
evaluate episode:3.9, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:39, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:40, reward = 0.926829268292683, state count = 5, state = [37, 42, 43, 114, 119]
train episode:41, reward = 0.859349593495935, state count = 5, state = [43, 88, 90, 108, 122]
train episode:42, reward = 0.8105691056910569, state count = 5, state = [15, 28, 43, 86, 122]
train episode:43, reward = 0.8813008130081301, state count = 5, state = [15, 28, 43, 90, 136]
train episode:44, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:45, reward = 0.8772357723577235, state count = 5, state = [15, 28, 43, 90, 151]
train episode:46, reward = 0.8788617886178862, state count = 5, state = [15, 28, 43, 53, 90]
train episode:47, reward = 0.8796747967479674, state count = 5, state = [15, 28, 43, 70, 90]
train episode:48, reward = 0.8934959349593496, state count = 5, state = [28, 39, 43, 111, 155]
evaluate episode:4.9, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:49, reward = 0.9520325203252032, state count = 5, state = [27, 43, 90, 122, 130]
train episode:50, reward = 0.891869918699187, state count = 5, state = [15, 28, 43, 90, 122]
train episode:51, reward = 0.9544715447154472, state count = 5, state = [3, 15, 43, 65, 90]
train episode:52, reward = 0.9560975609756097, state count = 5, state = [43, 65, 110, 123, 129]
train episode:53, reward = 0.8601626016260162, state count = 5, state = [43, 88, 90, 122, 135]
train episode:54, reward = 0.9967479674796748, state count = 5, state = [15, 23, 43, 90, 142]
train episode:55, reward = 0.8829268292682927, state count = 5, state = [8, 15, 43, 90, 110]
train episode:56, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:57, reward = 0.8048780487804879, state count = 5, state = [7, 15, 43, 90, 122]
train episode:58, reward = 0.9934959349593496, state count = 5, state = [17, 43, 122, 141, 143]
evaluate episode:5.9, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:59, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:60, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:61, reward = 0.8609756097560975, state count = 5, state = [15, 43, 90, 120, 122]
train episode:62, reward = 0.926829268292683, state count = 5, state = [15, 43, 44, 90, 154]
train episode:63, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:64, reward = 0.9341463414634147, state count = 5, state = [4, 15, 43, 76, 154]
train episode:65, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:66, reward = 0.9707317073170731, state count = 5, state = [11, 15, 43, 62, 88]
train episode:67, reward = 0.9382113821138212, state count = 5, state = [15, 43, 65, 90, 100]
train episode:68, reward = 0.9203252032520325, state count = 5, state = [15, 35, 43, 90, 122]
evaluate episode:6.9, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:69, reward = 0.9796747967479674, state count = 5, state = [15, 43, 68, 108, 126]
train episode:70, reward = 0.8845528455284553, state count = 5, state = [15, 18, 43, 115, 122]
train episode:71, reward = 0.9536585365853658, state count = 5, state = [27, 39, 43, 90, 122]
train episode:72, reward = 0.948780487804878, state count = 5, state = [15, 43, 76, 90, 122]
train episode:73, reward = 0.7886178861788617, state count = 5, state = [15, 43, 69, 90, 151]
train episode:74, reward = 0.7886178861788617, state count = 5, state = [15, 24, 43, 90, 151]
train episode:75, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:76, reward = 0.8040650406504065, state count = 5, state = [9, 15, 43, 90, 122]
train episode:77, reward = 0.9073170731707317, state count = 5, state = [15, 19, 43, 90, 122]
train episode:78, reward = 0.8032520325203252, state count = 5, state = [15, 43, 90, 122, 142]
evaluate episode:7.9, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:79, reward = 0.9739837398373984, state count = 5, state = [15, 43, 68, 90, 122]
train episode:80, reward = 0.802439024390244, state count = 5, state = [15, 43, 90, 122, 158]
train episode:81, reward = 0, state count = 0, state = []
train episode:82, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:83, reward = 0.8073170731707318, state count = 5, state = [1, 15, 28, 43, 122]
train episode:84, reward = 0.8959349593495934, state count = 5, state = [15, 43, 90, 123, 159]
train episode:85, reward = 0.9967479674796748, state count = 5, state = [15, 23, 43, 90, 148]
train episode:86, reward = 0.9959349593495935, state count = 5, state = [7, 15, 17, 43, 126]
