train episode:0, reward = 0.9504065040650407, state count = 6, state = [35, 55, 91, 103, 119, 142]
train episode:1, reward = 0.8577235772357723, state count = 6, state = [1, 6, 29, 46, 83, 163]
train episode:2, reward = 0.9422764227642276, state count = 6, state = [4, 16, 32, 69, 80, 104]
train episode:3, reward = 0.9642276422764228, state count = 6, state = [6, 21, 62, 78, 88, 131]
train episode:4, reward = 0.8943089430894309, state count = 6, state = [1, 6, 8, 21, 65, 161]
train episode:5, reward = 0.8951219512195122, state count = 6, state = [21, 29, 80, 111, 136, 149]
train episode:6, reward = 0.7837398373983739, state count = 6, state = [8, 21, 29, 71, 136, 161]
train episode:7, reward = 0.7837398373983739, state count = 6, state = [1, 8, 21, 29, 136, 161]
train episode:8, reward = 0.9829268292682927, state count = 6, state = [8, 18, 21, 68, 104, 131]
evaluate episode:0.9, reward = 0.8869918699186992, state count = 6, state = [8, 21, 29, 111, 136, 161]
train episode:9, reward = 0.8260162601626017, state count = 6, state = [21, 29, 115, 126, 136, 152]
train episode:10, reward = 0.8951219512195122, state count = 6, state = [21, 27, 29, 53, 117, 118]
train episode:11, reward = 0.8869918699186992, state count = 6, state = [8, 21, 29, 111, 136, 161]
train episode:12, reward = 0.8878048780487805, state count = 6, state = [8, 21, 29, 53, 82, 111]
train episode:13, reward = 0.8869918699186992, state count = 6, state = [8, 21, 29, 111, 136, 161]
train episode:14, reward = 0.9910569105691057, state count = 6, state = [21, 33, 68, 82, 131, 136]
train episode:15, reward = 0.5292682926829269, state count = 6, state = [1, 42, 125, 140, 146, 161]
train episode:16, reward = 0.8983739837398373, state count = 6, state = [6, 18, 38, 84, 114, 152]
train episode:17, reward = 0.9195121951219513, state count = 6, state = [6, 21, 29, 56, 80, 136]
train episode:18, reward = 0.9113821138211382, state count = 6, state = [21, 29, 91, 104, 111, 136]
evaluate episode:1.9, reward = 0.8869918699186992, state count = 6, state = [6, 21, 29, 111, 136, 161]
train episode:19, reward = 0.7032520325203252, state count = 6, state = [1, 21, 30, 104, 107, 123]
train episode:20, reward = 0.9308943089430894, state count = 6, state = [6, 8, 21, 75, 121, 161]
train episode:21, reward = 0.8406504065040651, state count = 6, state = [6, 11, 21, 29, 41, 136]
train episode:22, reward = 0.908130081300813, state count = 6, state = [21, 29, 59, 111, 136, 146]
train episode:23, reward = 0.8869918699186992, state count = 6, state = [6, 21, 29, 111, 136, 161]
train episode:24, reward = 0.8813008130081301, state count = 6, state = [1, 6, 21, 91, 130, 161]
train episode:25, reward = 0.8975609756097561, state count = 6, state = [6, 21, 29, 45, 136, 161]
train episode:26, reward = 0.767479674796748, state count = 6, state = [21, 46, 57, 122, 130, 136]
train episode:27, reward = 0.4951219512195122, state count = 6, state = [8, 21, 30, 42, 52, 161]
train episode:28, reward = 0.8731707317073171, state count = 6, state = [18, 21, 81, 104, 111, 121]
evaluate episode:2.9, reward = 0.8869918699186992, state count = 6, state = [6, 21, 29, 111, 136, 161]
train episode:29, reward = 0.5398373983739837, state count = 6, state = [10, 21, 52, 118, 159, 161]
train episode:30, reward = 0.8869918699186992, state count = 6, state = [6, 21, 29, 111, 136, 161]
train episode:31, reward = 0.4959349593495935, state count = 6, state = [8, 21, 49, 127, 130, 136]
train episode:32, reward = 0.8951219512195122, state count = 6, state = [21, 29, 80, 111, 136, 149]
train episode:33, reward = 0.9235772357723577, state count = 6, state = [6, 21, 29, 79, 82, 136]
train episode:34, reward = 0.9471544715447154, state count = 6, state = [6, 21, 46, 56, 130, 136]
train episode:35, reward = 0.8634146341463415, state count = 6, state = [21, 29, 32, 120, 136, 161]
train episode:36, reward = 0.8357723577235773, state count = 6, state = [6, 21, 29, 95, 136, 144]
train episode:37, reward = 0.8252032520325203, state count = 6, state = [21, 29, 81, 86, 136, 158]
train episode:38, reward = 0.8821138211382114, state count = 6, state = [6, 21, 29, 56, 136, 161]
evaluate episode:3.9, reward = 0.8869918699186992, state count = 6, state = [6, 21, 29, 111, 136, 161]
train episode:39, reward = 0.8707317073170732, state count = 6, state = [6, 21, 60, 111, 130, 161]
train episode:40, reward = 0.7967479674796748, state count = 6, state = [21, 29, 107, 136, 137, 161]
train episode:41, reward = 0.7772357723577236, state count = 6, state = [6, 8, 21, 136, 154, 161]
train episode:42, reward = 0.9504065040650407, state count = 6, state = [6, 21, 62, 115, 136, 161]
train episode:43, reward = 0.9130081300813008, state count = 6, state = [6, 21, 29, 65, 68, 122]
train episode:44, reward = 0.8691056910569106, state count = 6, state = [6, 21, 29, 87, 136, 156]
train episode:45, reward = 0.7991869918699187, state count = 6, state = [21, 29, 37, 63, 94, 136]
train episode:46, reward = 0.8869918699186992, state count = 6, state = [6, 21, 29, 111, 136, 161]
train episode:47, reward = 0.8357723577235773, state count = 6, state = [6, 21, 89, 111, 136, 161]
train episode:48, reward = 0.8975609756097561, state count = 6, state = [6, 21, 29, 45, 136, 149]
evaluate episode:4.9, reward = 0.9203252032520325, state count = 6, state = [6, 21, 80, 111, 136, 161]
train episode:49, reward = 0.9203252032520325, state count = 6, state = [6, 21, 80, 111, 136, 161]
train episode:50, reward = 0.8439024390243902, state count = 6, state = [6, 21, 38, 111, 136, 161]
train episode:51, reward = 0.8796747967479674, state count = 6, state = [6, 21, 66, 111, 128, 136]
train episode:52, reward = 0.4951219512195122, state count = 6, state = [8, 21, 30, 94, 148, 161]
train episode:53, reward = 0.9300813008130081, state count = 6, state = [6, 21, 25, 111, 136, 161]
train episode:54, reward = 0.943089430894309, state count = 6, state = [6, 11, 21, 76, 125, 138]
train episode:55, reward = 0.8926829268292683, state count = 6, state = [21, 55, 87, 111, 136, 148]
train episode:56, reward = 0.8528455284552846, state count = 6, state = [6, 21, 78, 132, 136, 161]
train episode:57, reward = 0.9414634146341463, state count = 6, state = [6, 8, 21, 76, 136, 161]
train episode:58, reward = 0.8300813008130081, state count = 6, state = [6, 21, 32, 111, 136, 161]
evaluate episode:5.9, reward = 0.8292682926829268, state count = 6, state = [6, 21, 111, 130, 136, 161]
train episode:59, reward = 0.7536585365853659, state count = 6, state = [21, 32, 35, 78, 126, 136]
train episode:60, reward = 0.8292682926829268, state count = 6, state = [8, 21, 94, 111, 136, 161]
train episode:61, reward = 0.8300813008130081, state count = 6, state = [6, 21, 111, 136, 159, 161]
train episode:62, reward = 0.8292682926829268, state count = 6, state = [6, 21, 111, 130, 136, 161]
train episode:63, reward = 0.5593495934959349, state count = 6, state = [21, 63, 127, 136, 140, 161]
train episode:64, reward = 0.8747967479674796, state count = 6, state = [6, 21, 119, 121, 136, 161]
train episode:65, reward = 0.9723577235772358, state count = 6, state = [6, 21, 28, 47, 136, 161]
train episode:66, reward = 0.8300813008130081, state count = 6, state = [6, 21, 22, 89, 136, 161]
train episode:67, reward = 0.8447154471544716, state count = 6, state = [6, 21, 71, 78, 95, 136]
train episode:68, reward = 0.9772357723577236, state count = 6, state = [6, 21, 34, 67, 136, 161]
evaluate episode:6.9, reward = 0.8292682926829268, state count = 6, state = [6, 21, 111, 130, 136, 161]
train episode:69, reward = 0.9495934959349593, state count = 6, state = [6, 21, 27, 80, 131, 136]
train episode:70, reward = 0.7788617886178861, state count = 6, state = [6, 21, 57, 124, 136, 138]
train episode:71, reward = 0.9601626016260163, state count = 6, state = [6, 21, 48, 107, 133, 136]
train episode:72, reward = 0.8292682926829268, state count = 6, state = [6, 21, 111, 130, 136, 161]
train episode:73, reward = 0.8967479674796748, state count = 6, state = [6, 21, 55, 136, 158, 161]
train episode:74, reward = 0.8292682926829268, state count = 6, state = [6, 21, 84, 110, 130, 136]
train episode:75, reward = 0.8089430894308943, state count = 6, state = [6, 21, 89, 135, 136, 161]
