train episode:0, reward = 0.9552845528455285, state count = 7, state = [28, 40, 89, 90, 97, 112, 123]
train episode:1, reward = 0.9853658536585366, state count = 7, state = [4, 47, 55, 77, 105, 133, 143]
train episode:2, reward = 0.9536585365853658, state count = 7, state = [1, 51, 62, 109, 123, 127, 133]
train episode:3, reward = 0.9902439024390244, state count = 7, state = [5, 6, 33, 53, 80, 133, 153]
train episode:4, reward = 0.891869918699187, state count = 7, state = [1, 18, 123, 127, 133, 153, 163]
train episode:5, reward = 0.8089430894308943, state count = 7, state = [3, 89, 103, 123, 131, 133, 153]
train episode:6, reward = 0.8658536585365854, state count = 7, state = [41, 43, 69, 89, 123, 133, 153]
train episode:7, reward = 0.9723577235772358, state count = 7, state = [18, 24, 119, 123, 127, 133, 148]
train episode:8, reward = 0.8365853658536585, state count = 7, state = [21, 89, 108, 109, 123, 133, 153]
evaluate episode:0.9, reward = 0.9804878048780488, state count = 7, state = [18, 61, 109, 123, 133, 153, 163]
train episode:9, reward = 0.9642276422764228, state count = 7, state = [9, 23, 59, 105, 125, 133, 148]
train episode:10, reward = 0.824390243902439, state count = 7, state = [72, 73, 106, 109, 123, 133, 161]
train episode:11, reward = 0.859349593495935, state count = 7, state = [12, 18, 109, 123, 133, 153, 163]
train episode:12, reward = 0.8365853658536585, state count = 7, state = [18, 87, 109, 123, 126, 133, 161]
train episode:13, reward = 0.8203252032520325, state count = 7, state = [18, 43, 109, 123, 133, 153, 163]
train episode:14, reward = 0.8113821138211382, state count = 7, state = [41, 82, 89, 123, 133, 153, 158]
train episode:15, reward = 0.975609756097561, state count = 7, state = [61, 66, 82, 109, 123, 133, 158]
train episode:16, reward = 0.8292682926829268, state count = 7, state = [14, 83, 93, 109, 123, 133, 161]
train episode:17, reward = 0.9121951219512195, state count = 7, state = [30, 92, 95, 109, 120, 123, 133]
train episode:18, reward = 0.8585365853658536, state count = 7, state = [18, 98, 109, 123, 133, 153, 163]
evaluate episode:1.9, reward = 0.8585365853658536, state count = 7, state = [18, 98, 109, 123, 133, 153, 163]
train episode:19, reward = 0.8585365853658536, state count = 7, state = [18, 98, 109, 123, 133, 153, 163]
train episode:20, reward = 0.9024390243902439, state count = 7, state = [18, 46, 109, 113, 123, 133, 153]
