train episode:0, reward = 0.9471544715447154, state count = 8, state = [31, 44, 49, 51, 90, 119, 132, 152]
train episode:1, reward = 0.9447154471544715, state count = 8, state = [1, 58, 92, 96, 100, 126, 140, 160]
train episode:2, reward = 0.9829268292682927, state count = 8, state = [1, 27, 38, 68, 78, 118, 132, 163]
train episode:3, reward = 0.9804878048780488, state count = 8, state = [38, 66, 67, 76, 118, 132, 143, 152]
train episode:4, reward = 0.9715447154471545, state count = 8, state = [1, 16, 27, 51, 96, 132, 151, 153]
train episode:5, reward = 0.8617886178861789, state count = 8, state = [27, 51, 90, 109, 118, 130, 132, 151]
train episode:6, reward = 0.9739837398373984, state count = 8, state = [27, 51, 67, 75, 76, 99, 118, 132]
train episode:7, reward = 0.9821138211382113, state count = 8, state = [16, 38, 51, 90, 96, 132, 140, 153]
train episode:8, reward = 0.9829268292682927, state count = 8, state = [16, 38, 51, 82, 96, 100, 132, 153]
evaluate episode:0.9, reward = 0.9959349593495935, state count = 8, state = [16, 38, 51, 54, 96, 100, 132, 153]
train episode:9, reward = 0.9504065040650407, state count = 8, state = [13, 18, 51, 53, 64, 76, 96, 132]
train episode:10, reward = 0.9959349593495935, state count = 8, state = [17, 18, 51, 96, 100, 117, 118, 132]
train episode:11, reward = 0.8495934959349594, state count = 8, state = [16, 39, 51, 96, 114, 132, 140, 153]
train episode:12, reward = 0.5195121951219512, state count = 3, state = [8, 15, 118]
train episode:13, reward = 0.983739837398374, state count = 8, state = [1, 6, 16, 38, 51, 100, 116, 132]
train episode:14, reward = 0.9902439024390244, state count = 8, state = [16, 27, 33, 51, 111, 118, 132, 156]
train episode:15, reward = 0.8666666666666667, state count = 8, state = [13, 70, 81, 96, 100, 113, 132, 154]
train episode:16, reward = 0.9284552845528455, state count = 8, state = [16, 20, 65, 76, 93, 100, 114, 132]
train episode:17, reward = 0.7560975609756098, state count = 8, state = [19, 27, 35, 51, 57, 96, 118, 132]
train episode:18, reward = 0.9951219512195122, state count = 8, state = [16, 38, 51, 61, 76, 96, 100, 132]
evaluate episode:1.9, reward = 0.989430894308943, state count = 8, state = [16, 38, 51, 76, 96, 100, 118, 132]
train episode:19, reward = 0.7333333333333333, state count = 8, state = [44, 51, 52, 82, 100, 132, 133, 145]
train episode:20, reward = 0.9975609756097561, state count = 8, state = [1, 51, 54, 58, 96, 100, 126, 132]
train episode:21, reward = 0.9658536585365853, state count = 8, state = [16, 27, 51, 96, 100, 118, 130, 132]
train episode:22, reward = 0.9422764227642276, state count = 8, state = [3, 7, 51, 70, 76, 118, 132, 153]
train episode:23, reward = 0.8471544715447155, state count = 8, state = [16, 27, 28, 29, 50, 51, 118, 132]
train episode:24, reward = 0.989430894308943, state count = 8, state = [16, 38, 51, 76, 95, 96, 100, 132]
train episode:25, reward = 0.948780487804878, state count = 8, state = [27, 50, 51, 69, 93, 118, 128, 132]
train episode:26, reward = 0.9959349593495935, state count = 8, state = [17, 27, 51, 100, 108, 116, 118, 132]
train episode:27, reward = 0.9642276422764228, state count = 8, state = [38, 51, 66, 76, 96, 100, 118, 132]
train episode:28, reward = 0.989430894308943, state count = 8, state = [16, 24, 38, 51, 76, 96, 100, 132]
evaluate episode:2.9, reward = 0.9878048780487805, state count = 8, state = [27, 38, 51, 76, 96, 100, 118, 132]
train episode:29, reward = 0.9260162601626016, state count = 8, state = [51, 56, 80, 96, 100, 132, 134, 160]
train episode:30, reward = 0.8902439024390244, state count = 8, state = [45, 51, 76, 96, 100, 118, 127, 132]
train episode:31, reward = 0.8569105691056911, state count = 8, state = [51, 70, 77, 88, 96, 100, 118, 132]
train episode:32, reward = 0.9796747967479674, state count = 8, state = [21, 27, 48, 51, 72, 76, 78, 132]
train episode:33, reward = 0.8878048780487805, state count = 8, state = [44, 60, 91, 96, 100, 132, 137, 142]
train episode:34, reward = 0.932520325203252, state count = 8, state = [49, 51, 76, 96, 113, 132, 134, 151]
train episode:35, reward = 0.9211382113821138, state count = 8, state = [51, 76, 96, 100, 113, 118, 129, 132]
train episode:36, reward = 0.9796747967479674, state count = 8, state = [27, 51, 76, 96, 100, 118, 119, 132]
train episode:37, reward = 0.9016260162601626, state count = 8, state = [38, 51, 76, 96, 100, 114, 118, 132]
train episode:38, reward = 0.9959349593495935, state count = 8, state = [17, 38, 51, 76, 96, 100, 118, 132]
evaluate episode:3.9, reward = 0.9878048780487805, state count = 8, state = [27, 38, 51, 76, 96, 100, 118, 132]
train episode:39, reward = 0.9243902439024391, state count = 8, state = [31, 41, 51, 87, 100, 118, 132, 154]
train episode:40, reward = 0.9414634146341463, state count = 8, state = [51, 76, 96, 98, 100, 107, 118, 132]
train episode:41, reward = 0.9861788617886179, state count = 8, state = [38, 51, 53, 76, 96, 100, 118, 132]
train episode:42, reward = 0.9853658536585366, state count = 8, state = [15, 36, 96, 100, 118, 126, 132, 154]
train episode:43, reward = 0.9861788617886179, state count = 8, state = [51, 68, 76, 96, 100, 118, 131, 132]
train episode:44, reward = 0.9414634146341463, state count = 8, state = [4, 51, 76, 96, 100, 118, 132, 158]
train episode:45, reward = 0.8105691056910569, state count = 8, state = [2, 51, 88, 96, 100, 118, 128, 132]
train episode:46, reward = 0.9878048780487805, state count = 8, state = [27, 38, 51, 76, 96, 100, 118, 132]
train episode:47, reward = 0.9853658536585366, state count = 8, state = [51, 68, 76, 96, 100, 118, 122, 132]
train episode:48, reward = 0.932520325203252, state count = 8, state = [38, 51, 60, 76, 96, 100, 118, 132]
evaluate episode:4.9, reward = 0.9878048780487805, state count = 8, state = [27, 38, 51, 76, 96, 100, 118, 132]
train episode:49, reward = 0.9414634146341463, state count = 8, state = [51, 76, 96, 100, 118, 130, 132, 156]
train episode:50, reward = 0.9308943089430894, state count = 8, state = [51, 60, 76, 100, 107, 118, 128, 132]
train episode:51, reward = 0.9878048780487805, state count = 8, state = [27, 38, 51, 76, 96, 100, 118, 132]
train episode:52, reward = 0.9853658536585366, state count = 8, state = [38, 51, 76, 90, 96, 100, 118, 132]
train episode:53, reward = 0.5691056910569106, state count = 8, state = [4, 5, 51, 81, 100, 106, 118, 132]
train episode:54, reward = 0.9463414634146341, state count = 8, state = [38, 51, 65, 76, 96, 100, 118, 132]
train episode:55, reward = 0.932520325203252, state count = 8, state = [27, 51, 60, 76, 96, 100, 118, 132]
train episode:56, reward = 0.9869918699186991, state count = 8, state = [44, 51, 68, 76, 96, 100, 118, 132]
train episode:57, reward = 0.9512195121951219, state count = 8, state = [51, 61, 73, 76, 96, 100, 118, 132]
train episode:58, reward = 0.8975609756097561, state count = 8, state = [37, 51, 76, 96, 100, 114, 118, 132]
evaluate episode:5.9, reward = 0.9878048780487805, state count = 8, state = [27, 38, 51, 76, 96, 100, 118, 132]
train episode:59, reward = 0.9878048780487805, state count = 8, state = [11, 38, 51, 76, 96, 100, 118, 132]
train episode:60, reward = 0.989430894308943, state count = 8, state = [36, 51, 72, 84, 118, 132, 136, 149]
train episode:61, reward = 0.8268292682926829, state count = 8, state = [7, 51, 93, 96, 100, 109, 132, 159]
train episode:62, reward = 0.9878048780487805, state count = 8, state = [38, 51, 71, 76, 96, 100, 118, 132]
train episode:63, reward = 0.9504065040650407, state count = 8, state = [20, 51, 64, 76, 96, 100, 118, 132]
train episode:64, reward = 0.9414634146341463, state count = 8, state = [10, 51, 76, 96, 100, 118, 132, 139]
train episode:65, reward = 0.9113821138211382, state count = 8, state = [27, 51, 76, 96, 100, 111, 118, 132]
train episode:66, reward = 0.9414634146341463, state count = 8, state = [5, 51, 76, 96, 100, 118, 126, 131]
train episode:67, reward = 0.9878048780487805, state count = 8, state = [38, 48, 76, 96, 100, 118, 126, 132]
train episode:68, reward = 0.9902439024390244, state count = 8, state = [33, 38, 51, 76, 96, 100, 118, 132]
evaluate episode:6.9, reward = 0.9878048780487805, state count = 8, state = [27, 38, 51, 76, 96, 100, 118, 132]
train episode:69, reward = 0.9422764227642276, state count = 8, state = [2, 51, 76, 83, 96, 100, 118, 158]
train episode:70, reward = 0.9414634146341463, state count = 8, state = [51, 76, 96, 100, 115, 118, 127, 132]
train episode:71, reward = 0.9333333333333333, state count = 8, state = [15, 75, 76, 84, 100, 118, 132, 156]
train episode:72, reward = 0.9284552845528455, state count = 8, state = [51, 60, 76, 83, 96, 100, 118, 132]
train episode:73, reward = 0.9390243902439024, state count = 8, state = [51, 71, 76, 91, 118, 120, 121, 132]
train episode:74, reward = 0.9536585365853658, state count = 8, state = [45, 51, 61, 76, 96, 100, 118, 132]
train episode:75, reward = 0.9869918699186991, state count = 8, state = [30, 38, 51, 76, 96, 100, 118, 132]
