train episode:0, reward = 0.9723577235772358, state count = 9, state = [11, 21, 28, 48, 71, 75, 92, 100, 158]
train episode:1, reward = 0.9951219512195122, state count = 9, state = [1, 38, 57, 61, 62, 91, 119, 125, 133]
train episode:2, reward = 0.8065040650406504, state count = 9, state = [1, 30, 41, 57, 99, 107, 134, 147, 154]
train episode:3, reward = 0.9447154471544715, state count = 9, state = [1, 9, 14, 58, 85, 97, 107, 134, 147]
train episode:4, reward = 0.7560975609756098, state count = 9, state = [3, 19, 38, 57, 107, 118, 134, 140, 147]
train episode:5, reward = 0.991869918699187, state count = 9, state = [6, 16, 32, 62, 69, 107, 134, 147, 162]
train episode:6, reward = 0.9463414634146341, state count = 9, state = [1, 28, 38, 57, 107, 114, 134, 135, 147]
train episode:7, reward = 0.883739837398374, state count = 9, state = [34, 41, 49, 70, 77, 109, 134, 147, 158]
train episode:8, reward = 0.8382113821138212, state count = 9, state = [41, 107, 109, 114, 118, 132, 133, 134, 147]
evaluate episode:0.9, reward = 0.8878048780487805, state count = 9, state = [28, 38, 41, 57, 107, 115, 134, 140, 147]
train episode:9, reward = 0.9609756097560975, state count = 9, state = [41, 57, 67, 104, 109, 113, 130, 134, 147]
train episode:10, reward = 0.8878048780487805, state count = 9, state = [28, 38, 41, 57, 107, 115, 134, 140, 147]
train episode:11, reward = 0.9747967479674797, state count = 9, state = [38, 41, 57, 67, 87, 102, 107, 134, 147]
train episode:12, reward = 0.9642276422764228, state count = 9, state = [41, 51, 57, 67, 86, 88, 109, 134, 158]
train episode:13, reward = 0.7861788617886178, state count = 9, state = [24, 38, 41, 57, 107, 134, 142, 146, 147]
train episode:14, reward = 0.883739837398374, state count = 9, state = [38, 41, 57, 109, 114, 134, 135, 147, 158]
train episode:15, reward = 0.9682926829268292, state count = 9, state = [41, 57, 75, 87, 128, 134, 135, 147, 158]
train episode:16, reward = 0.9552845528455285, state count = 9, state = [41, 49, 57, 67, 109, 127, 134, 147, 153]
train episode:17, reward = 0.9699186991869919, state count = 9, state = [31, 41, 67, 79, 87, 109, 130, 134, 147]
train episode:18, reward = 0.9577235772357724, state count = 9, state = [41, 53, 57, 67, 109, 126, 134, 147, 158]
evaluate episode:1.9, reward = 0.9552845528455285, state count = 9, state = [41, 49, 51, 57, 67, 109, 134, 147, 158]
train episode:19, reward = 0.8463414634146341, state count = 9, state = [39, 41, 71, 109, 134, 138, 147, 152, 162]
