train episode:0, reward = 0.5478723404255319, state count = 5, state = [92, 95, 102, 138, 158]
train episode:1, reward = 0.5815602836879432, state count = 5, state = [31, 39, 108, 131, 151]
train episode:2, reward = 0.601063829787234, state count = 5, state = [1, 21, 68, 87, 147]
train episode:3, reward = 0.8351063829787234, state count = 5, state = [1, 5, 19, 48, 121]
train episode:4, reward = 0.9095744680851063, state count = 5, state = [1, 34, 35, 46, 134]
train episode:5, reward = 0.5691489361702128, state count = 5, state = [1, 24, 46, 68, 108]
train episode:6, reward = 0.5549645390070922, state count = 5, state = [24, 35, 48, 104, 131]
train episode:7, reward = 0.6294326241134752, state count = 5, state = [21, 48, 53, 155, 165]
train episode:8, reward = 0.5319148936170213, state count = 5, state = [34, 100, 104, 131, 155]
evaluate episode:0.9, reward = 0.9840425531914894, state count = 5, state = [34, 104, 131, 134, 155]
train episode:9, reward = 0.9840425531914894, state count = 5, state = [34, 104, 131, 134, 155]
train episode:10, reward = 0.5283687943262412, state count = 5, state = [30, 104, 114, 131, 155]
train episode:11, reward = 0.8209219858156028, state count = 5, state = [34, 104, 131, 155, 164]
train episode:12, reward = 0.7039007092198581, state count = 5, state = [19, 34, 104, 131, 155]
train episode:13, reward = 0.6187943262411347, state count = 5, state = [48, 121, 131, 154, 155]
train episode:14, reward = 0.7978723404255319, state count = 5, state = [120, 131, 155, 169, 175]
train episode:15, reward = 0.7819148936170213, state count = 5, state = [34, 48, 53, 131, 149]
train episode:16, reward = 0.7570921985815603, state count = 5, state = [48, 83, 131, 155, 177]
train episode:17, reward = 0.8085106382978723, state count = 5, state = [41, 48, 132, 134, 158]
train episode:18, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 134]
evaluate episode:1.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 134]
train episode:19, reward = 0.8546099290780141, state count = 5, state = [34, 104, 131, 134, 178]
train episode:20, reward = 0.7269503546099291, state count = 5, state = [48, 113, 119, 131, 155]
train episode:21, reward = 0.7074468085106383, state count = 5, state = [46, 48, 131, 155, 167]
train episode:22, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 134]
train episode:23, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 134]
train episode:24, reward = 0.7074468085106383, state count = 5, state = [3, 48, 104, 131, 163]
train episode:25, reward = 0.5088652482269503, state count = 5, state = [104, 114, 122, 131, 149]
train episode:26, reward = 0.9840425531914894, state count = 5, state = [4, 34, 104, 131, 134]
train episode:27, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 134]
train episode:28, reward = 0.8067375886524822, state count = 5, state = [34, 78, 104, 131, 134]
evaluate episode:2.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 134]
train episode:29, reward = 0.9946808510638298, state count = 5, state = [26, 34, 75, 95, 131]
train episode:30, reward = 0.7109929078014184, state count = 5, state = [31, 34, 48, 125, 131]
train episode:31, reward = 0.7429078014184397, state count = 5, state = [54, 104, 120, 131, 155]
