train episode:0, reward = 0.723404255319149, state count = 6, state = [32, 64, 115, 126, 137, 170]
train episode:1, reward = 0.7677304964539007, state count = 6, state = [9, 45, 52, 66, 99, 137]
train episode:2, reward = 0.5868794326241135, state count = 6, state = [71, 94, 104, 140, 156, 165]
train episode:3, reward = 0.5053191489361702, state count = 6, state = [1, 30, 32, 71, 102, 154]
train episode:4, reward = 0.8067375886524822, state count = 6, state = [15, 28, 46, 70, 131, 178]
train episode:5, reward = 0.8209219858156028, state count = 6, state = [15, 17, 48, 66, 168, 175]
train episode:6, reward = 0.8209219858156028, state count = 6, state = [4, 15, 17, 55, 71, 126]
train episode:7, reward = 0.8457446808510638, state count = 6, state = [15, 71, 93, 109, 152, 167]
train episode:8, reward = 0.8209219858156028, state count = 6, state = [9, 17, 21, 66, 70, 71]
evaluate episode:0.9, reward = 0.8209219858156028, state count = 6, state = [15, 17, 66, 71, 93, 167]
train episode:9, reward = 0.7021276595744681, state count = 6, state = [76, 111, 114, 139, 151, 165]
train episode:10, reward = 0.6631205673758865, state count = 6, state = [66, 71, 93, 150, 152, 167]
train episode:11, reward = 0.6223404255319149, state count = 6, state = [50, 66, 71, 76, 93, 167]
train episode:12, reward = 0.8209219858156028, state count = 6, state = [15, 17, 66, 71, 93, 167]
train episode:13, reward = 0.6843971631205674, state count = 6, state = [7, 71, 93, 129, 145, 167]
train episode:14, reward = 0.8209219858156028, state count = 6, state = [15, 17, 66, 71, 93, 167]
train episode:15, reward = 0.6648936170212766, state count = 6, state = [53, 66, 71, 93, 150, 167]
train episode:16, reward = 0.8546099290780141, state count = 6, state = [32, 59, 66, 71, 88, 94]
train episode:17, reward = 0.8209219858156028, state count = 6, state = [9, 17, 66, 70, 71, 101]
train episode:18, reward = 0.6560283687943262, state count = 6, state = [9, 66, 70, 71, 92, 174]
evaluate episode:1.9, reward = 0.8829787234042553, state count = 6, state = [9, 17, 28, 66, 70, 71]
train episode:19, reward = 0.8209219858156028, state count = 6, state = [9, 17, 56, 66, 70, 71]
train episode:20, reward = 0.8847517730496454, state count = 6, state = [9, 15, 66, 89, 94, 183]
train episode:21, reward = 0.8209219858156028, state count = 6, state = [4, 12, 17, 66, 71, 178]
train episode:22, reward = 0.8404255319148937, state count = 6, state = [17, 33, 66, 71, 148, 173]
train episode:23, reward = 0.5726950354609929, state count = 6, state = [9, 15, 66, 108, 117, 158]
