train episode:0, reward = 0.5577889447236181, state count = 6, state = [56, 61, 98, 102, 137, 141]
train episode:1, reward = 0.7788944723618091, state count = 6, state = [11, 36, 113, 117, 141, 143]
train episode:2, reward = 0.5251256281407035, state count = 6, state = [1, 24, 75, 85, 168, 175]
train episode:3, reward = 0.9170854271356784, state count = 6, state = [1, 14, 28, 47, 77, 82]
train episode:4, reward = 0.7361809045226131, state count = 6, state = [1, 28, 53, 56, 168, 183]
train episode:5, reward = 0.5653266331658291, state count = 6, state = [24, 53, 56, 75, 93, 168]
train episode:6, reward = 0.964824120603015, state count = 6, state = [19, 47, 56, 161, 168, 180]
train episode:7, reward = 0.914572864321608, state count = 6, state = [28, 47, 56, 65, 168, 180]
train episode:8, reward = 0.9698492462311558, state count = 6, state = [39, 47, 56, 89, 168, 180]
evaluate episode:0.9, reward = 0.7638190954773869, state count = 6, state = [28, 38, 56, 137, 168, 183]
train episode:9, reward = 0.9874371859296482, state count = 6, state = [47, 56, 136, 137, 155, 156]
train episode:10, reward = 0.9547738693467337, state count = 6, state = [28, 45, 47, 56, 141, 180]
train episode:11, reward = 0.9748743718592965, state count = 6, state = [28, 38, 47, 56, 168, 183]
train episode:12, reward = 0.992462311557789, state count = 6, state = [47, 53, 56, 116, 137, 166]
train episode:13, reward = 0.9849246231155779, state count = 6, state = [3, 47, 56, 70, 137, 176]
train episode:14, reward = 0.5728643216080402, state count = 3, state = [56, 137, 180]
train episode:15, reward = 0.9698492462311558, state count = 6, state = [28, 47, 56, 137, 150, 180]
train episode:16, reward = 0.9698492462311558, state count = 6, state = [28, 47, 56, 93, 137, 180]
train episode:17, reward = 0.9974874371859297, state count = 6, state = [15, 23, 47, 56, 137, 175]
train episode:18, reward = 0.9698492462311558, state count = 6, state = [28, 47, 56, 137, 169, 180]
evaluate episode:1.9, reward = 0.9698492462311558, state count = 6, state = [28, 47, 56, 137, 150, 180]
train episode:19, reward = 0.9698492462311558, state count = 6, state = [28, 47, 56, 98, 137, 180]
train episode:20, reward = 0.9120603015075377, state count = 6, state = [47, 56, 70, 87, 137, 179]
train episode:21, reward = 0.7688442211055276, state count = 6, state = [28, 38, 56, 99, 153, 173]
