train episode:0, reward = 0.9813008130081301, state count = 9, state = [27, 39, 86, 94, 113, 132, 150, 163, 176]
train episode:1, reward = 0.9926829268292683, state count = 9, state = [20, 61, 77, 101, 102, 104, 114, 119, 174]
train episode:2, reward = 0.9959349593495935, state count = 9, state = [1, 26, 35, 58, 90, 91, 126, 135, 183]
train episode:3, reward = 0.9723577235772358, state count = 9, state = [15, 58, 63, 80, 85, 88, 102, 116, 119]
train episode:4, reward = 0.9821138211382113, state count = 9, state = [18, 85, 96, 102, 109, 119, 160, 176, 177]
train episode:5, reward = 0.8804878048780488, state count = 9, state = [15, 85, 96, 102, 147, 156, 160, 173, 177]
train episode:6, reward = 0.973170731707317, state count = 9, state = [4, 15, 30, 58, 88, 102, 119, 174, 177]
train episode:7, reward = 0.9902439024390244, state count = 9, state = [44, 58, 65, 79, 85, 96, 102, 119, 177]
train episode:8, reward = 0.8691056910569106, state count = 9, state = [2, 15, 21, 85, 96, 102, 119, 160, 177]
evaluate episode:0.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 96, 102, 119, 177]
train episode:9, reward = 0.8439024390243902, state count = 9, state = [10, 24, 50, 69, 83, 85, 88, 102, 119]
train episode:10, reward = 0.9585365853658536, state count = 9, state = [15, 34, 35, 55, 94, 107, 143, 170, 177]
train episode:11, reward = 0.9707317073170731, state count = 9, state = [2, 15, 29, 102, 119, 122, 165, 171, 177]
train episode:12, reward = 0.9560975609756097, state count = 9, state = [1, 15, 58, 85, 88, 96, 102, 119, 177]
train episode:13, reward = 0.9821138211382113, state count = 9, state = [15, 35, 79, 85, 88, 102, 119, 132, 177]
train episode:14, reward = 0.9699186991869919, state count = 9, state = [15, 58, 59, 85, 96, 102, 119, 123, 177]
train episode:15, reward = 0.9560975609756097, state count = 9, state = [15, 58, 85, 88, 96, 102, 119, 145, 177]
train episode:16, reward = 0.9422764227642276, state count = 9, state = [15, 28, 43, 44, 58, 94, 96, 124, 177]
train episode:17, reward = 0.8886178861788618, state count = 9, state = [15, 21, 85, 87, 102, 119, 131, 160, 177]
train episode:18, reward = 0.8902439024390244, state count = 9, state = [15, 71, 85, 88, 96, 102, 145, 160, 177]
evaluate episode:1.9, reward = 0.9479674796747968, state count = 9, state = [15, 58, 63, 85, 96, 102, 119, 160, 177]
train episode:19, reward = 0.9569105691056911, state count = 9, state = [14, 15, 58, 85, 88, 96, 102, 119, 177]
train episode:20, reward = 0.9861788617886179, state count = 9, state = [10, 15, 67, 83, 86, 94, 102, 119, 177]
train episode:21, reward = 0.9869918699186991, state count = 9, state = [36, 85, 91, 102, 118, 119, 153, 172, 177]
train episode:22, reward = 0.9666666666666667, state count = 9, state = [11, 15, 58, 85, 102, 119, 160, 174, 177]
train episode:23, reward = 0.9967479674796748, state count = 9, state = [15, 26, 47, 58, 85, 96, 102, 119, 177]
train episode:24, reward = 0.9276422764227642, state count = 9, state = [39, 53, 55, 69, 85, 86, 94, 102, 177]
train episode:25, reward = 0.9520325203252032, state count = 9, state = [12, 15, 58, 85, 96, 102, 119, 132, 177]
