train episode:0, reward = 0.9674779887477388, state count = 10, state = [72, 86, 100, 119, 139, 150, 158, 161, 164, 170]
train episode:1, reward = 0.9993906561783671, state count = 10, state = [1, 14, 17, 21, 51, 68, 76, 127, 141, 170]
train episode:2, reward = 0.9918678438848934, state count = 10, state = [1, 2, 17, 28, 141, 144, 147, 155, 161, 170]
train episode:3, reward = 0.991868257840153, state count = 10, state = [17, 76, 84, 87, 90, 139, 141, 156, 161, 170]
train episode:4, reward = 0.8642275364785267, state count = 10, state = [1, 30, 37, 65, 82, 116, 123, 124, 159, 177]
train episode:5, reward = 0.9918699103025286, state count = 10, state = [14, 17, 28, 33, 48, 76, 141, 161, 170, 183]
train episode:6, reward = 0.7727648741849741, state count = 10, state = [17, 18, 19, 21, 28, 76, 141, 147, 161, 170]
train episode:7, reward = 0.9884142101150916, state count = 10, state = [4, 33, 43, 46, 70, 85, 112, 141, 170, 175]
train episode:8, reward = 0.9916658337181522, state count = 10, state = [17, 65, 76, 83, 121, 130, 141, 143, 162, 170]
evaluate episode:0.9, reward = 0.9912576755114044, state count = 10, state = [17, 18, 76, 85, 87, 141, 147, 161, 170, 174]
train episode:9, reward = 0.98759914060537, state count = 10, state = [17, 28, 47, 63, 76, 87, 141, 161, 170, 174]
train episode:10, reward = 0.9953227195204741, state count = 10, state = [7, 17, 20, 62, 76, 141, 147, 156, 161, 170]
train episode:11, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 138, 141, 147, 151, 161, 170, 174]
train episode:12, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 121, 141, 154, 159, 161, 170, 174]
train episode:13, reward = 0.9910544234788841, state count = 10, state = [17, 18, 42, 76, 87, 141, 161, 170, 171, 174]
train episode:14, reward = 0.982722320256008, state count = 10, state = [17, 18, 76, 87, 109, 141, 147, 161, 170, 174]
train episode:15, reward = 0.9898357341562865, state count = 10, state = [1, 15, 17, 28, 76, 81, 141, 161, 170, 182]
train episode:16, reward = 0.9949182768350736, state count = 10, state = [17, 64, 76, 80, 123, 141, 156, 161, 170, 174]
train episode:17, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 123, 137, 141, 145, 161, 170, 174]
train episode:18, reward = 0.9898349112837621, state count = 10, state = [17, 54, 70, 76, 87, 115, 141, 161, 170, 174]
evaluate episode:1.9, reward = 0.9912576755114044, state count = 10, state = [17, 18, 76, 85, 87, 141, 147, 161, 170, 174]
train episode:19, reward = 0.9888186511211605, state count = 10, state = [3, 17, 63, 76, 87, 133, 141, 161, 170, 174]
train episode:20, reward = 0.9971552927379081, state count = 10, state = [2, 17, 58, 76, 92, 97, 106, 141, 161, 170]
train episode:21, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 104, 141, 148, 161, 167, 170, 174]
train episode:22, reward = 0.9841450878423137, state count = 10, state = [17, 29, 58, 76, 87, 141, 151, 161, 170, 174]
train episode:23, reward = 0.9912576755114044, state count = 10, state = [17, 18, 76, 87, 140, 141, 147, 161, 170, 174]
train episode:24, reward = 0.991664179576445, state count = 10, state = [16, 17, 72, 76, 87, 137, 141, 161, 170, 183]
train episode:25, reward = 0.991664179576445, state count = 10, state = [17, 40, 76, 87, 141, 147, 161, 170, 174, 176]
train episode:26, reward = 0.9961361399264834, state count = 10, state = [17, 22, 66, 76, 122, 141, 161, 164, 170, 174]
train episode:27, reward = 0.9912576755114044, state count = 10, state = [9, 17, 51, 64, 76, 87, 141, 150, 161, 170]
train episode:28, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 99, 141, 147, 161, 170, 174, 175]
