train episode:0, reward = 0.9794731736671791, state count = 5, state = [39, 68, 104, 133, 176]
train episode:1, reward = 0.9626119060451541, state count = 5, state = [61, 66, 87, 101, 146]
train episode:2, reward = 0.8087356054825344, state count = 5, state = [80, 132, 137, 170, 171]
train episode:3, reward = 0.8609800272380882, state count = 5, state = [1, 32, 97, 110, 121]
train episode:4, reward = 0.943494647751615, state count = 5, state = [16, 97, 100, 114, 119]
train episode:5, reward = 0.7203254526327874, state count = 5, state = [1, 32, 97, 98, 105]
train episode:6, reward = 0.8727620419920917, state count = 5, state = [7, 32, 97, 128, 134]
train episode:7, reward = 0.8829288016433537, state count = 5, state = [32, 90, 119, 132, 174]
train episode:8, reward = 0.8762152718826238, state count = 5, state = [2, 32, 43, 133, 161]
evaluate episode:0.9, reward = 0.8977653653894911, state count = 5, state = [32, 97, 98, 133, 160]
train episode:9, reward = 0.9394304249357377, state count = 5, state = [32, 98, 133, 160, 163]
train episode:10, reward = 0.9977642276422765, state count = 5, state = [23, 32, 97, 98, 160]
train episode:11, reward = 0.992071511552005, state count = 5, state = [36, 51, 119, 129, 180]
train episode:12, reward = 0.9436978964254721, state count = 5, state = [32, 66, 97, 98, 133]
train episode:13, reward = 0.7502030924960105, state count = 5, state = [32, 63, 97, 98, 128]
train episode:14, reward = 0.8817138312007667, state count = 5, state = [32, 98, 133, 160, 175]
train episode:15, reward = 0.922156065230482, state count = 5, state = [42, 59, 72, 141, 166]
train episode:16, reward = 0.8682880169037498, state count = 5, state = [32, 43, 119, 122, 160]
train episode:17, reward = 0.8774372711679674, state count = 5, state = [32, 98, 107, 160, 174]
train episode:18, reward = 0.9973581324945003, state count = 5, state = [25, 32, 98, 133, 160]
evaluate episode:1.9, reward = 0.8977653653894911, state count = 5, state = [32, 97, 98, 133, 160]
train episode:19, reward = 0.8977653653894911, state count = 5, state = [32, 97, 98, 133, 160]
train episode:20, reward = 0.9949174539625494, state count = 5, state = [32, 47, 133, 160, 174]
train episode:21, reward = 0.9609718589687848, state count = 5, state = [16, 71, 119, 170, 174]
train episode:22, reward = 0.9571170824003385, state count = 5, state = [32, 65, 97, 98, 119]
train episode:23, reward = 0.86196279396995, state count = 5, state = [32, 105, 133, 160, 174]
train episode:24, reward = 0.6798761578530133, state count = 5, state = [32, 77, 98, 118, 133]
train episode:25, reward = 0.8977653653894911, state count = 5, state = [32, 97, 98, 133, 160]
train episode:26, reward = 0.9058995963188915, state count = 5, state = [32, 98, 113, 133, 160]
train episode:27, reward = 0.9912601575636311, state count = 5, state = [32, 54, 92, 97, 101]
train episode:28, reward = 0.6776424468749299, state count = 5, state = [32, 37, 84, 96, 133]
evaluate episode:2.9, reward = 0.9853645966787722, state count = 5, state = [32, 68, 97, 98, 133]
train episode:29, reward = 0.9290624998215711, state count = 5, state = [32, 85, 97, 119, 133]
train episode:30, reward = 0.9538625711864501, state count = 5, state = [32, 65, 97, 98, 133]
train episode:31, reward = 0.8699239512968286, state count = 5, state = [32, 60, 97, 133, 174]
train episode:32, reward = 0.7414599938355093, state count = 5, state = [32, 97, 98, 119, 138]
train episode:33, reward = 0.9853645966787722, state count = 5, state = [32, 68, 97, 98, 133]
train episode:34, reward = 0.8453300229339611, state count = 5, state = [7, 109, 149, 153, 160]
train episode:35, reward = 0.931095434102034, state count = 5, state = [3, 32, 97, 119, 133]
train episode:36, reward = 0.9231772811008785, state count = 5, state = [32, 34, 44, 97, 133]
train episode:37, reward = 0.8674840973167337, state count = 5, state = [97, 98, 99, 110, 133]
train episode:38, reward = 0.8337363880510983, state count = 5, state = [32, 89, 97, 98, 133]
evaluate episode:3.9, reward = 0.9853645966787722, state count = 5, state = [32, 68, 97, 98, 133]
