train episode:0, reward = 0.9314804447921725, state count = 6, state = [19, 67, 80, 97, 128, 153]
train episode:1, reward = 0.7751384692170722, state count = 6, state = [13, 19, 70, 114, 128, 159]
train episode:2, reward = 0.7730465226193116, state count = 6, state = [19, 28, 51, 78, 99, 135]
train episode:3, reward = 0.7725814063402419, state count = 6, state = [15, 19, 30, 55, 152, 158]
train episode:4, reward = 0.8838631040526309, state count = 6, state = [1, 4, 24, 30, 172, 180]
train episode:5, reward = 0.9916338298450611, state count = 6, state = [19, 33, 85, 86, 133, 180]
train episode:6, reward = 0.7751384692170722, state count = 6, state = [19, 59, 83, 101, 148, 180]
train episode:7, reward = 0.7742066204228293, state count = 6, state = [11, 19, 50, 85, 172, 180]
train episode:8, reward = 0.7742082366589329, state count = 6, state = [1, 19, 36, 91, 100, 180]
evaluate episode:0.9, reward = 0.7737431203798628, state count = 6, state = [1, 19, 24, 34, 72, 180]
train episode:9, reward = 0.7737431203798628, state count = 6, state = [19, 24, 34, 80, 125, 180]
train episode:10, reward = 0.7756019692600387, state count = 6, state = [19, 51, 67, 69, 146, 180]
train episode:11, reward = 0.7737425808018129, state count = 6, state = [19, 24, 34, 50, 80, 180]
train episode:12, reward = 0.7744397181404143, state count = 6, state = [15, 19, 21, 51, 174, 180]
train episode:13, reward = 0.7739783714135546, state count = 6, state = [1, 4, 19, 24, 63, 159]
train episode:14, reward = 0.7739746018613445, state count = 6, state = [19, 24, 78, 86, 150, 180]
train episode:15, reward = 0.7742071600008793, state count = 6, state = [19, 36, 62, 90, 118, 128]
train episode:16, reward = 0.7739746018613445, state count = 6, state = [1, 19, 40, 86, 125, 164]
train episode:17, reward = 0.7742082366589329, state count = 6, state = [19, 36, 53, 85, 86, 87]
train episode:18, reward = 0.7751384692170722, state count = 6, state = [14, 19, 59, 72, 146, 148]
evaluate episode:1.9, reward = 0.7739746018613445, state count = 6, state = [19, 24, 78, 86, 150, 180]
train episode:19, reward = 0.7742071600008793, state count = 6, state = [19, 24, 78, 96, 180, 183]
train episode:20, reward = 0.774672815857999, state count = 6, state = [1, 19, 24, 55, 91, 152]
train episode:21, reward = 0.7742071600008793, state count = 6, state = [19, 36, 85, 144, 158, 170]
train episode:22, reward = 0.8534389332541952, state count = 6, state = [71, 114, 129, 161, 179, 180]
train episode:23, reward = 0.7737458107759732, state count = 6, state = [4, 9, 19, 30, 43, 180]
train episode:24, reward = 0.7739746018613445, state count = 6, state = [19, 24, 76, 85, 86, 170]
