train episode:0, reward = 0.8494849053040523, state count = 7, state = [37, 69, 72, 100, 110, 124, 177]
train episode:1, reward = 0.9094030318291096, state count = 7, state = [31, 58, 62, 99, 109, 168, 171]
train episode:2, reward = 0.8936149281262054, state count = 7, state = [13, 74, 144, 155, 157, 180, 181]
train episode:3, reward = 0.9149725839393594, state count = 7, state = [10, 18, 37, 129, 161, 171, 174]
train episode:4, reward = 0.8385482127975923, state count = 7, state = [1, 2, 35, 43, 60, 147, 171]
train episode:5, reward = 0.8316172253297921, state count = 7, state = [37, 52, 97, 106, 124, 139, 147]
train episode:6, reward = 0.8724785217959555, state count = 7, state = [10, 37, 78, 137, 143, 147, 181]
train episode:7, reward = 0.7733312549586223, state count = 7, state = [10, 20, 37, 78, 137, 143, 147]
train episode:8, reward = 0.895936739969344, state count = 7, state = [2, 10, 37, 77, 137, 147, 171]
evaluate episode:0.9, reward = 0.7574652571688939, state count = 5, state = [10, 37, 137, 147, 181]
train episode:9, reward = 0.9112559578409684, state count = 7, state = [2, 12, 29, 37, 66, 137, 147]
train episode:10, reward = 0.8613318884632217, state count = 7, state = [10, 37, 41, 105, 137, 147, 181]
train episode:11, reward = 0.8464503333393287, state count = 7, state = [37, 59, 95, 116, 137, 147, 181]
train episode:12, reward = 0.7574652571688939, state count = 6, state = [10, 37, 72, 137, 147, 181]
train episode:13, reward = 0.6893591136731075, state count = 3, state = [82, 137, 181]
train episode:14, reward = 0.8111591260634183, state count = 7, state = [1, 2, 37, 59, 86, 131, 147]
train episode:15, reward = 0.8642716695544085, state count = 7, state = [39, 75, 123, 137, 147, 161, 181]
train episode:16, reward = 0.7932741945798385, state count = 7, state = [2, 37, 41, 128, 137, 147, 159]
train episode:17, reward = 0.7770817895405793, state count = 3, state = [137, 147, 181]
train episode:18, reward = 0.9145117792885962, state count = 7, state = [2, 37, 44, 104, 129, 137, 147]
evaluate episode:1.9, reward = 0.7770817895405793, state count = 3, state = [137, 147, 181]
train episode:19, reward = 0.8364837372174959, state count = 7, state = [14, 28, 82, 111, 120, 137, 181]
train episode:20, reward = 0.7770817895405793, state count = 3, state = [137, 147, 181]
train episode:21, reward = 0.994192508957995, state count = 7, state = [37, 54, 74, 122, 126, 133, 175]
train episode:22, reward = 0.8511111960446931, state count = 7, state = [6, 37, 109, 133, 147, 171, 177]
train episode:23, reward = 0.9948917996127029, state count = 7, state = [1, 25, 53, 74, 90, 147, 181]
train episode:24, reward = 0.8954748536644344, state count = 7, state = [2, 37, 106, 137, 147, 171, 177]
train episode:25, reward = 0.9263485504335611, state count = 7, state = [2, 81, 101, 123, 147, 171, 181]
train episode:26, reward = 0.9412150373407995, state count = 7, state = [2, 43, 62, 123, 137, 147, 171]
train episode:27, reward = 0.9890810785965376, state count = 7, state = [2, 36, 37, 120, 137, 147, 182]
train episode:28, reward = 0.8030174478557768, state count = 7, state = [1, 2, 11, 15, 43, 147, 181]
evaluate episode:2.9, reward = 0.7770817895405793, state count = 3, state = [137, 147, 181]
train episode:29, reward = 0.8511014936319798, state count = 7, state = [24, 37, 43, 49, 137, 147, 171]
train episode:30, reward = 0.9228763282113388, state count = 7, state = [2, 8, 123, 137, 147, 171, 181]
train episode:31, reward = 0.8745537989292373, state count = 7, state = [2, 43, 123, 147, 158, 164, 181]
train episode:32, reward = 0.806736749361999, state count = 7, state = [20, 37, 73, 74, 137, 147, 181]
train episode:33, reward = 0.9238119440597453, state count = 7, state = [2, 37, 58, 120, 137, 143, 147]
train episode:34, reward = 0.9897787505170956, state count = 7, state = [2, 33, 37, 123, 137, 143, 147]
train episode:35, reward = 0.9221824208468977, state count = 7, state = [2, 34, 37, 74, 147, 155, 175]
train episode:36, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:37, reward = 0.9918690833767994, state count = 7, state = [2, 33, 37, 49, 81, 92, 147]
train episode:38, reward = 0.927046761932169, state count = 7, state = [2, 37, 123, 137, 147, 159, 171]
evaluate episode:3.9, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:39, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:40, reward = 0.9939604903965101, state count = 7, state = [37, 54, 74, 131, 134, 137, 147]
train episode:41, reward = 0.8564325747265638, state count = 7, state = [2, 43, 86, 123, 132, 137, 147]
train episode:42, reward = 0.9437807109840104, state count = 7, state = [2, 37, 44, 123, 137, 147, 179]
train episode:43, reward = 0.8520193608598076, state count = 7, state = [2, 43, 123, 133, 137, 147, 181]
train episode:44, reward = 0.8127676382069222, state count = 7, state = [2, 37, 57, 58, 137, 143, 147]
train episode:45, reward = 0.8703860481103776, state count = 7, state = [2, 12, 37, 96, 137, 147, 183]
train episode:46, reward = 0.8735513803205892, state count = 7, state = [53, 74, 137, 147, 162, 176, 181]
train episode:47, reward = 0.7986004519465778, state count = 7, state = [2, 41, 43, 122, 137, 147, 181]
train episode:48, reward = 0.9228650220527547, state count = 7, state = [2, 37, 96, 123, 133, 137, 147]
evaluate episode:4.9, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:49, reward = 0.9305410618896023, state count = 7, state = [2, 13, 43, 75, 137, 147, 181]
train episode:50, reward = 0.9934959111974436, state count = 7, state = [2, 26, 37, 104, 129, 147, 160]
train episode:51, reward = 0.913583195441165, state count = 7, state = [2, 11, 106, 123, 137, 146, 147]
train episode:52, reward = 0.9233306829059676, state count = 7, state = [2, 50, 70, 123, 137, 147, 181]
train episode:53, reward = 0.8773428753714596, state count = 7, state = [2, 37, 112, 123, 137, 147, 181]
train episode:54, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:55, reward = 0.8294946027206723, state count = 7, state = [2, 43, 72, 110, 137, 147, 167]
train episode:56, reward = 0.8044143929447172, state count = 7, state = [2, 37, 89, 123, 127, 137, 147]
train episode:57, reward = 0.8501637419537922, state count = 7, state = [2, 43, 105, 123, 137, 147, 181]
train episode:58, reward = 0.8945457002623949, state count = 7, state = [2, 37, 52, 122, 132, 147, 172]
evaluate episode:5.9, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:59, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:60, reward = 0.9321625039219329, state count = 7, state = [2, 15, 32, 123, 137, 147, 181]
train episode:61, reward = 0.9126518437581812, state count = 7, state = [2, 123, 137, 147, 170, 173, 181]
train episode:62, reward = 0.8601551211952254, state count = 7, state = [2, 43, 123, 137, 147, 178, 181]
train episode:63, reward = 0.9147502652925411, state count = 7, state = [2, 6, 66, 107, 108, 134, 147]
train episode:64, reward = 0.9007757758432906, state count = 7, state = [2, 37, 94, 117, 123, 137, 147]
train episode:65, reward = 0.9428537158941708, state count = 7, state = [2, 18, 24, 79, 123, 147, 179]
train episode:66, reward = 0.8497180105157767, state count = 7, state = [2, 114, 123, 137, 145, 147, 181]
train episode:67, reward = 0.9916349090011611, state count = 7, state = [2, 33, 37, 58, 123, 147, 160]
train episode:68, reward = 0.9428488671858606, state count = 7, state = [2, 62, 83, 123, 147, 149, 181]
evaluate episode:6.9, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:69, reward = 0.9117604008665225, state count = 7, state = [2, 77, 123, 137, 147, 154, 181]
train episode:70, reward = 0.7556380635343162, state count = 7, state = [2, 31, 36, 52, 121, 123, 147]
train episode:71, reward = 0.9165870289433663, state count = 7, state = [2, 69, 72, 123, 137, 147, 181]
train episode:72, reward = 0.9249811922076935, state count = 7, state = [2, 78, 123, 143, 147, 177, 181]
train episode:73, reward = 0.9270505314843792, state count = 7, state = [2, 49, 123, 132, 147, 155, 181]
train episode:74, reward = 0.8494806061659782, state count = 7, state = [2, 84, 114, 123, 147, 151, 181]
train episode:75, reward = 0.8745548680931512, state count = 7, state = [2, 37, 43, 123, 134, 147, 181]
train episode:76, reward = 0.9168378902698089, state count = 7, state = [2, 37, 65, 102, 135, 147, 165]
train episode:77, reward = 0.9177627445337746, state count = 7, state = [2, 60, 79, 89, 123, 147, 181]
train episode:78, reward = 0.932388060037051, state count = 7, state = [2, 50, 69, 123, 137, 147, 174]
evaluate episode:7.9, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:79, reward = 0.9361181406140398, state count = 7, state = [2, 56, 123, 130, 137, 147, 181]
train episode:80, reward = 0.8840854451818677, state count = 7, state = [2, 43, 92, 121, 123, 147, 181]
train episode:81, reward = 0.8076605169757249, state count = 7, state = [2, 53, 89, 123, 147, 162, 181]
train episode:82, reward = 0.9147733972033871, state count = 7, state = [2, 20, 102, 123, 137, 147, 181]
train episode:83, reward = 0.8562048627972925, state count = 7, state = [2, 43, 123, 126, 137, 147, 181]
train episode:84, reward = 0.9272809363078075, state count = 7, state = [2, 49, 96, 100, 123, 147, 181]
train episode:85, reward = 0.8694455985419403, state count = 7, state = [2, 43, 123, 137, 147, 167, 181]
train episode:86, reward = 0.8508598001362934, state count = 7, state = [2, 43, 123, 131, 137, 147, 181]
train episode:87, reward = 0.9219401777809754, state count = 7, state = [2, 8, 20, 85, 96, 123, 147]
train episode:88, reward = 0.8601599649074425, state count = 7, state = [2, 43, 103, 123, 147, 148, 181]
evaluate episode:8.9, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:89, reward = 0.8529592808423813, state count = 7, state = [2, 43, 114, 123, 137, 147, 181]
train episode:90, reward = 0.8501637419537922, state count = 6, state = [2, 43, 123, 137, 147, 181]
train episode:91, reward = 0.8624817767505812, state count = 7, state = [2, 37, 43, 123, 147, 175, 181]
train episode:92, reward = 0.8504000671474907, state count = 7, state = [2, 12, 43, 123, 131, 147, 181]
train episode:93, reward = 0.9361041440593457, state count = 7, state = [2, 81, 123, 147, 161, 164, 177]
train episode:94, reward = 0.9491203928527892, state count = 7, state = [2, 12, 44, 123, 133, 147, 178]
train episode:95, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:96, reward = 0.8494644562951772, state count = 7, state = [2, 43, 123, 135, 147, 153, 181]
train episode:97, reward = 0.9173223888918866, state count = 7, state = [2, 41, 95, 123, 146, 147, 181]
train episode:98, reward = 0.7742071600008793, state count = 7, state = [2, 12, 19, 36, 74, 147, 166]
evaluate episode:9.9, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:99, reward = 0.8499365646064778, state count = 7, state = [2, 37, 43, 123, 137, 147, 181]
train episode:100, reward = 0.95934110525569, state count = 7, state = [1, 2, 98, 123, 134, 147, 181]
train episode:101, reward = 0.8492464093079212, state count = 7, state = [2, 43, 52, 57, 123, 147, 181]
train episode:102, reward = 0.9505232807944187, state count = 7, state = [2, 44, 69, 123, 147, 176, 181]
train episode:103, reward = 0.9616672212329955, state count = 7, state = [2, 7, 123, 147, 164, 175, 182]
train episode:104, reward = 0.9175301963864257, state count = 7, state = [2, 43, 76, 123, 144, 147, 181]
train episode:105, reward = 0.9832746617145391, state count = 7, state = [2, 36, 123, 126, 147, 153, 181]
train episode:106, reward = 0.8678171544851925, state count = 7, state = [2, 43, 117, 123, 147, 165, 181]
