train episode:0, reward = 0.8432925586562849, state count = 8, state = [12, 28, 43, 46, 71, 81, 154, 176]
train episode:1, reward = 0.9930885962664627, state count = 8, state = [6, 15, 47, 74, 78, 81, 123, 142]
train episode:2, reward = 0.9150397536433857, state count = 8, state = [1, 11, 15, 42, 81, 120, 154, 171]
train episode:3, reward = 0.7691040579068494, state count = 8, state = [1, 11, 15, 81, 106, 117, 135, 177]
train episode:4, reward = 0.8052802520770899, state count = 4, state = [78, 88, 153, 171]
train episode:5, reward = 0.9290604418005943, state count = 7, state = [78, 81, 88, 112, 126, 153, 171]
train episode:6, reward = 0.8786551225040554, state count = 8, state = [11, 78, 81, 82, 116, 142, 152, 154]
train episode:7, reward = 0.8693104813572521, state count = 8, state = [78, 81, 101, 103, 122, 154, 176, 179]
train episode:8, reward = 0.9861792606298925, state count = 8, state = [25, 67, 78, 81, 129, 154, 173, 183]
evaluate episode:0.9, reward = 0.9386153386326995, state count = 8, state = [2, 5, 46, 78, 81, 153, 154, 171]
train episode:9, reward = 0.9922764126882375, state count = 8, state = [62, 68, 78, 81, 98, 153, 154, 176]
train episode:10, reward = 0.8969486551727159, state count = 8, state = [11, 78, 81, 82, 101, 154, 171, 172]
train episode:11, reward = 0.9000028053235754, state count = 8, state = [11, 49, 70, 78, 81, 82, 134, 154]
train episode:12, reward = 0.8906676582784385, state count = 8, state = [11, 15, 78, 81, 82, 119, 142, 154]
train episode:13, reward = 0.81077053396937, state count = 8, state = [2, 78, 81, 88, 89, 153, 154, 171]
train episode:14, reward = 0.9857727565648519, state count = 8, state = [25, 67, 72, 78, 81, 140, 164, 176]
train episode:15, reward = 0.8231747100440726, state count = 8, state = [11, 39, 78, 81, 82, 117, 142, 154]
train episode:16, reward = 0.7497551962636615, state count = 8, state = [78, 81, 82, 95, 116, 142, 144, 154]
train episode:17, reward = 0.9111808475983324, state count = 8, state = [2, 15, 35, 78, 81, 82, 154, 171]
train episode:18, reward = 0.9286539377355535, state count = 8, state = [11, 78, 81, 82, 87, 112, 142, 154]
evaluate episode:1.9, reward = 0.8400450544538411, state count = 8, state = [2, 11, 78, 81, 82, 116, 142, 154]
train episode:19, reward = 0.7546287704648817, state count = 8, state = [4, 78, 81, 84, 105, 154, 171, 176]
train episode:20, reward = 0.8682933916047993, state count = 8, state = [11, 37, 78, 81, 143, 152, 154, 183]
train episode:21, reward = 0.9215434047287765, state count = 8, state = [11, 56, 78, 81, 82, 116, 142, 154]
train episode:22, reward = 0.8050856847083651, state count = 8, state = [31, 72, 78, 81, 116, 142, 153, 171]
train episode:23, reward = 0.7800873153394287, state count = 8, state = [11, 43, 78, 81, 82, 116, 142, 154]
train episode:24, reward = 0.8400450544538411, state count = 8, state = [2, 11, 78, 81, 82, 116, 142, 154]
train episode:25, reward = 0.8764259767891508, state count = 8, state = [11, 60, 78, 81, 82, 116, 142, 154]
train episode:26, reward = 0.8937065290299856, state count = 8, state = [11, 39, 78, 81, 83, 111, 142, 154]
train episode:27, reward = 0.8603657579366306, state count = 8, state = [11, 15, 28, 78, 81, 136, 154, 166]
train episode:28, reward = 0.7038678300136136, state count = 8, state = [11, 71, 78, 81, 82, 83, 147, 154]
evaluate episode:2.9, reward = 0.8400450544538411, state count = 8, state = [2, 11, 78, 81, 82, 116, 142, 154]
train episode:29, reward = 0.8768320668989317, state count = 8, state = [11, 60, 78, 81, 82, 142, 148, 154]
train episode:30, reward = 0.89898447034668, state count = 8, state = [11, 34, 78, 81, 98, 134, 154, 171]
train episode:31, reward = 0.8091424580088991, state count = 8, state = [1, 11, 18, 57, 78, 81, 154, 171]
train episode:32, reward = 0.911786883136551, state count = 8, state = [11, 15, 35, 78, 81, 106, 145, 173]
train episode:33, reward = 0.7080893575075144, state count = 8, state = [11, 78, 81, 82, 102, 116, 142, 154]
train episode:34, reward = 0.9697141817780487, state count = 8, state = [11, 56, 62, 78, 81, 82, 90, 154]
train episode:35, reward = 0.8802894161900807, state count = 8, state = [60, 78, 81, 101, 117, 134, 154, 182]
train episode:36, reward = 0.9939003658894283, state count = 8, state = [11, 17, 78, 81, 82, 116, 142, 154]
train episode:37, reward = 0.9300808381571297, state count = 8, state = [2, 27, 30, 73, 78, 81, 118, 167]
train episode:38, reward = 0.9936991819538749, state count = 8, state = [11, 40, 78, 81, 82, 151, 154, 177]
evaluate episode:3.9, reward = 0.8400450544538411, state count = 8, state = [2, 11, 78, 81, 82, 116, 142, 154]
train episode:39, reward = 0.9934951003315033, state count = 8, state = [6, 11, 54, 78, 81, 123, 143, 154]
train episode:40, reward = 0.9729695209024566, state count = 8, state = [11, 68, 78, 81, 82, 116, 142, 154]
train episode:41, reward = 0.9349563981680641, state count = 8, state = [11, 78, 81, 82, 133, 142, 154, 163]
train episode:42, reward = 0.8101136507868055, state count = 8, state = [11, 78, 81, 82, 121, 142, 154, 179]
train episode:43, reward = 0.8493992165716182, state count = 8, state = [11, 37, 58, 78, 81, 144, 154, 161]
train episode:44, reward = 0.9422730808941795, state count = 8, state = [11, 59, 65, 78, 81, 82, 142, 154]
train episode:45, reward = 0.9493864830391361, state count = 8, state = [13, 61, 78, 81, 82, 142, 150, 154]
train episode:46, reward = 0.8563122677295357, state count = 8, state = [11, 58, 63, 78, 81, 82, 100, 154]
train episode:47, reward = 0.9109747045963207, state count = 8, state = [11, 55, 78, 81, 82, 116, 117, 154]
train episode:48, reward = 0.7737807220716478, state count = 8, state = [11, 14, 19, 41, 78, 81, 100, 154]
evaluate episode:4.9, reward = 0.8400450544538411, state count = 8, state = [2, 11, 78, 81, 82, 116, 142, 154]
train episode:49, reward = 0.9493864830391361, state count = 8, state = [11, 61, 78, 81, 82, 142, 154, 155]
train episode:50, reward = 0.842894303468468, state count = 8, state = [30, 78, 81, 82, 108, 142, 154, 183]
train episode:51, reward = 0.8032543617533687, state count = 8, state = [11, 78, 81, 82, 142, 145, 151, 154]
train episode:52, reward = 0.8054905346316985, state count = 8, state = [1, 11, 31, 78, 81, 82, 142, 154]
train episode:53, reward = 0.893093881962933, state count = 8, state = [11, 78, 81, 82, 109, 116, 142, 154]
train episode:54, reward = 0.8400450544538411, state count = 8, state = [2, 11, 78, 81, 82, 116, 142, 154]
train episode:55, reward = 0.8400450544538411, state count = 8, state = [2, 11, 78, 81, 82, 116, 142, 154]
train episode:56, reward = 0.7697169031350402, state count = 8, state = [11, 12, 51, 78, 81, 82, 95, 154]
train episode:57, reward = 0.8666698540381998, state count = 8, state = [11, 78, 81, 82, 116, 142, 154, 181]
train episode:58, reward = 0.7735824139916005, state count = 8, state = [11, 20, 78, 81, 82, 83, 133, 154]
evaluate episode:5.9, reward = 0.8918665163731985, state count = 8, state = [11, 78, 81, 82, 116, 142, 154, 171]
train episode:59, reward = 0.8215395934855231, state count = 8, state = [78, 81, 82, 83, 84, 87, 153, 154]
train episode:60, reward = 0.7321454102068234, state count = 8, state = [30, 77, 78, 81, 82, 122, 142, 154]
train episode:61, reward = 0.7475640924493587, state count = 8, state = [11, 78, 81, 82, 98, 126, 154, 158]
train episode:62, reward = 0.8928898020198934, state count = 8, state = [11, 78, 81, 82, 109, 142, 153, 154]
train episode:63, reward = 0.8918665163731985, state count = 8, state = [11, 78, 81, 82, 116, 142, 154, 171]
train episode:64, reward = 0.9841496279155171, state count = 8, state = [11, 41, 68, 78, 81, 82, 148, 154]
train episode:65, reward = 0.9229674108221978, state count = 8, state = [11, 42, 55, 78, 81, 82, 142, 154]
train episode:66, reward = 0.9778479869968676, state count = 8, state = [58, 68, 78, 81, 82, 106, 122, 154]
train episode:67, reward = 0.8219539610211667, state count = 8, state = [11, 78, 81, 82, 130, 142, 145, 154]
train episode:68, reward = 0.8780544549495597, state count = 8, state = [11, 46, 78, 81, 82, 116, 142, 154]
evaluate episode:6.9, reward = 0.8918665163731985, state count = 8, state = [11, 78, 81, 82, 116, 142, 154, 171]
train episode:69, reward = 0.7530844553704001, state count = 6, state = [1, 11, 78, 81, 82, 154]
train episode:70, reward = 0.7060568371823112, state count = 8, state = [11, 78, 81, 82, 116, 131, 142, 154]
train episode:71, reward = 0.8554934659051503, state count = 8, state = [11, 78, 81, 82, 120, 135, 142, 154]
train episode:72, reward = 0.9723589368943764, state count = 8, state = [11, 68, 78, 81, 82, 105, 135, 154]
train episode:73, reward = 0.7851218778327177, state count = 8, state = [11, 78, 81, 82, 116, 142, 148, 154]
train episode:74, reward = 0.871338042615997, state count = 8, state = [11, 78, 81, 82, 117, 152, 154, 155]
train episode:75, reward = 0.7315101148330363, state count = 8, state = [11, 78, 81, 82, 84, 116, 142, 154]
train episode:76, reward = 0.9788609439140499, state count = 8, state = [2, 18, 38, 78, 81, 82, 101, 154]
train episode:77, reward = 0.8225633048427996, state count = 8, state = [8, 11, 78, 81, 82, 142, 145, 154]
train episode:78, reward = 0.8794677317928622, state count = 8, state = [11, 78, 81, 82, 110, 112, 142, 154]
evaluate episode:7.9, reward = 0.8918665163731985, state count = 8, state = [11, 78, 81, 82, 116, 142, 154, 171]
train episode:79, reward = 0.9493869037117226, state count = 8, state = [36, 53, 78, 81, 82, 93, 112, 154]
train episode:80, reward = 0.8654441661008159, state count = 8, state = [11, 42, 78, 81, 82, 142, 154, 171]
train episode:81, reward = 0.9632092770715571, state count = 8, state = [11, 16, 70, 78, 81, 82, 154, 164]
train episode:82, reward = 0.859554375399618, state count = 8, state = [11, 15, 63, 78, 81, 82, 142, 154]
train episode:83, reward = 0.954065414301706, state count = 8, state = [8, 11, 78, 81, 82, 120, 154, 162]
train episode:84, reward = 0.9723552196936973, state count = 8, state = [3, 61, 78, 81, 82, 88, 154, 171]
train episode:85, reward = 0.8932967200401937, state count = 8, state = [11, 78, 81, 82, 99, 109, 142, 154]
train episode:86, reward = 0.870126383815488, state count = 8, state = [11, 37, 78, 81, 82, 114, 154, 175]
train episode:87, reward = 0.9922768266434974, state count = 8, state = [11, 47, 56, 70, 78, 81, 82, 154]
train episode:88, reward = 0.8459319205989141, state count = 8, state = [56, 69, 74, 78, 81, 82, 89, 154]
evaluate episode:8.9, reward = 0.8918665163731985, state count = 8, state = [11, 78, 81, 82, 116, 142, 154, 171]
train episode:89, reward = 0.7737811343475759, state count = 8, state = [11, 19, 20, 78, 81, 82, 142, 154]
train episode:90, reward = 0.7955278851514467, state count = 8, state = [14, 51, 53, 78, 81, 82, 112, 154]
train episode:91, reward = 0.7995962374439308, state count = 8, state = [7, 11, 78, 81, 82, 100, 142, 154]
train episode:92, reward = 0.8609746626130287, state count = 8, state = [45, 68, 78, 81, 82, 108, 135, 154]
train episode:93, reward = 0.8863803824301737, state count = 8, state = [11, 78, 81, 82, 91, 154, 171, 180]
train episode:94, reward = 0.8556905203640965, state count = 8, state = [11, 43, 60, 78, 81, 82, 142, 154]
train episode:95, reward = 0.913010529846275, state count = 8, state = [13, 31, 55, 78, 81, 82, 154, 172]
train episode:96, reward = 0.9154400634935158, state count = 8, state = [11, 16, 78, 81, 82, 131, 142, 154]
train episode:97, reward = 0.8859734795238584, state count = 8, state = [11, 78, 81, 82, 142, 154, 167, 171]
train episode:98, reward = 0.8186932371197191, state count = 8, state = [11, 78, 81, 82, 88, 105, 154, 155]
evaluate episode:9.9, reward = 0.8918665163731985, state count = 8, state = [11, 78, 81, 82, 116, 142, 154, 171]
train episode:99, reward = 0.8623949716577514, state count = 8, state = [11, 78, 81, 82, 99, 142, 154, 171]
train episode:100, reward = 0.993291848298983, state count = 8, state = [11, 34, 54, 78, 81, 82, 154, 171]
train episode:101, reward = 0.969917852803824, state count = 8, state = [11, 47, 78, 81, 82, 88, 154, 171]
train episode:102, reward = 0.8892242382711025, state count = 8, state = [11, 78, 81, 82, 93, 154, 158, 171]
train episode:103, reward = 0.8873949800544099, state count = 8, state = [11, 51, 78, 81, 82, 112, 154, 171]
train episode:104, reward = 0.9776414300395964, state count = 8, state = [2, 11, 12, 38, 78, 81, 82, 154]
train episode:105, reward = 0.8943043089736532, state count = 8, state = [2, 11, 78, 81, 82, 124, 154, 171]
train episode:106, reward = 0.8924828839995931, state count = 8, state = [11, 78, 81, 82, 104, 110, 139, 154]
train episode:107, reward = 0.9298750973550559, state count = 8, state = [2, 11, 78, 81, 82, 154, 164, 171]
train episode:108, reward = 0.9512132659209293, state count = 8, state = [9, 23, 78, 81, 82, 89, 143, 154]
evaluate episode:10.9, reward = 0.8402483064863615, state count = 8, state = [2, 11, 78, 81, 82, 116, 154, 171]
train episode:109, reward = 0.895736984616885, state count = 8, state = [50, 78, 81, 82, 110, 154, 160, 162]
