train episode:0, reward = 0.9867598113275419, state count = 9, state = [23, 48, 55, 94, 105, 131, 139, 161, 170]
train episode:1, reward = 0.9688781422927268, state count = 9, state = [22, 39, 65, 72, 86, 100, 104, 158, 177]
train episode:2, reward = 0.8998703114164723, state count = 9, state = [1, 12, 79, 81, 100, 104, 152, 153, 158]
train episode:3, reward = 0.9955873182171542, state count = 9, state = [1, 14, 47, 97, 107, 115, 132, 133, 165]
train episode:4, reward = 0.9909383087425633, state count = 9, state = [8, 33, 87, 104, 109, 146, 156, 158, 174]
train episode:5, reward = 0.9040547316998107, state count = 9, state = [8, 104, 123, 131, 146, 156, 158, 174, 176]
train episode:6, reward = 0.9077708257142915, state count = 9, state = [6, 79, 100, 107, 115, 133, 153, 158, 165]
train episode:7, reward = 0.9495871378581949, state count = 9, state = [6, 27, 63, 79, 107, 115, 158, 165, 181]
train episode:8, reward = 0.9477309768760829, state count = 9, state = [6, 8, 27, 79, 84, 96, 115, 165, 174]
evaluate episode:0.9, reward = 0.9221765029746736, state count = 9, state = [6, 79, 91, 105, 107, 115, 158, 165, 169]
train episode:9, reward = 0.9695661292868977, state count = 9, state = [6, 8, 24, 25, 64, 79, 154, 158, 169]
train episode:10, reward = 0.9224079844561552, state count = 9, state = [6, 18, 79, 105, 109, 142, 158, 165, 182]
train episode:11, reward = 0.9052180694696748, state count = 9, state = [79, 94, 104, 130, 131, 152, 156, 158, 165]
train episode:12, reward = 0.9479689058156522, state count = 9, state = [44, 61, 79, 103, 104, 107, 137, 158, 167]
train episode:13, reward = 0.9495935928104222, state count = 9, state = [6, 26, 79, 91, 105, 107, 158, 165, 169]
train episode:14, reward = 0.8984830362656403, state count = 9, state = [10, 21, 39, 79, 107, 153, 158, 161, 171]
train episode:15, reward = 0.9897825200693058, state count = 9, state = [17, 39, 57, 74, 79, 107, 131, 158, 178]
train episode:16, reward = 0.9200953229574473, state count = 9, state = [6, 79, 91, 105, 107, 153, 158, 165, 169]
train episode:17, reward = 0.9233355291162312, state count = 9, state = [6, 14, 52, 79, 107, 115, 123, 156, 158]
train episode:18, reward = 0.958180475368262, state count = 9, state = [6, 71, 79, 81, 90, 119, 149, 156, 158]
evaluate episode:1.9, reward = 0.9224079844561552, state count = 9, state = [6, 8, 79, 104, 109, 156, 158, 165, 174]
train episode:19, reward = 0.9305453660237696, state count = 9, state = [6, 30, 79, 92, 111, 153, 156, 158, 159]
train episode:20, reward = 0.9951227415161344, state count = 9, state = [6, 47, 86, 106, 107, 116, 158, 165, 168]
train episode:21, reward = 0.9242722166265981, state count = 9, state = [11, 39, 76, 79, 89, 104, 128, 158, 165]
train episode:22, reward = 0.9063738606409789, state count = 9, state = [79, 81, 131, 135, 146, 156, 158, 174, 176]
train episode:23, reward = 0.9224079844561552, state count = 9, state = [6, 79, 103, 109, 146, 153, 156, 158, 165]
train episode:24, reward = 0.8657962473345844, state count = 9, state = [9, 12, 41, 82, 100, 104, 135, 158, 175]
train episode:25, reward = 0.9572545494423361, state count = 9, state = [40, 79, 104, 130, 136, 153, 156, 158, 165]
train episode:26, reward = 0.9049855113301399, state count = 9, state = [6, 41, 79, 115, 155, 156, 158, 163, 165]
train episode:27, reward = 0.9040574320881071, state count = 9, state = [8, 72, 79, 104, 118, 156, 158, 165, 172]
train episode:28, reward = 0.9219450214931924, state count = 9, state = [79, 109, 116, 122, 156, 158, 165, 166, 170]
evaluate episode:2.9, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 153, 156, 158, 165, 174]
train episode:29, reward = 0.9182337836811614, state count = 9, state = [4, 79, 80, 107, 149, 156, 158, 177, 183]
train episode:30, reward = 0.8912645810975818, state count = 9, state = [6, 74, 79, 115, 137, 153, 156, 158, 165]
train episode:31, reward = 0.922873100735225, state count = 9, state = [6, 34, 79, 109, 115, 153, 158, 159, 165]
train episode:32, reward = 0.9224079844561552, state count = 9, state = [6, 9, 79, 105, 109, 134, 155, 158, 165]
train episode:33, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 153, 156, 158, 165, 174, 176]
train episode:34, reward = 0.9035869325187704, state count = 9, state = [9, 79, 82, 104, 156, 157, 158, 165, 174]
train episode:35, reward = 0.958641814600982, state count = 9, state = [6, 54, 79, 109, 117, 126, 156, 158, 165]
train episode:36, reward = 0.972121033851528, state count = 9, state = [6, 25, 78, 79, 115, 153, 156, 158, 165]
train episode:37, reward = 0.9416823119320691, state count = 9, state = [6, 79, 106, 115, 156, 158, 165, 174, 182]
train episode:38, reward = 0.8968546022010788, state count = 9, state = [2, 6, 15, 79, 139, 156, 158, 165, 166]
evaluate episode:3.9, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 153, 156, 158, 165, 174]
train episode:39, reward = 0.961440056375914, state count = 9, state = [40, 44, 79, 143, 156, 158, 160, 165, 171]
train episode:40, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 153, 156, 158, 165, 174]
train episode:41, reward = 0.9224079844561552, state count = 9, state = [6, 79, 95, 107, 109, 153, 156, 158, 165]
train episode:42, reward = 0.9337898738186737, state count = 9, state = [6, 21, 39, 56, 79, 84, 156, 158, 165]
train episode:43, reward = 0.9925651440573471, state count = 9, state = [6, 17, 32, 75, 79, 153, 156, 158, 165]
train episode:44, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 153, 156, 158, 165, 174]
train episode:45, reward = 0.9189368438880795, state count = 9, state = [6, 79, 89, 115, 150, 153, 156, 158, 165]
train episode:46, reward = 0.9147470228281482, state count = 9, state = [6, 32, 79, 80, 115, 153, 156, 158, 165]
train episode:47, reward = 0.9498186093474903, state count = 9, state = [6, 77, 79, 115, 148, 153, 156, 158, 165]
train episode:48, reward = 0.9549402717075246, state count = 9, state = [6, 7, 42, 49, 59, 79, 140, 158, 165]
evaluate episode:4.9, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 153, 156, 158, 165, 174]
train episode:49, reward = 0.9035912391509839, state count = 9, state = [1, 14, 79, 127, 144, 156, 157, 158, 165]
train episode:50, reward = 0.9488851493132371, state count = 9, state = [6, 16, 79, 85, 145, 152, 156, 158, 165]
train episode:51, reward = 0.9205480589179263, state count = 9, state = [6, 50, 79, 109, 115, 153, 156, 158, 165]
train episode:52, reward = 0.9800242335493643, state count = 9, state = [6, 25, 54, 57, 73, 75, 79, 158, 182]
train episode:53, reward = 0.9914055808357863, state count = 9, state = [20, 33, 79, 106, 155, 158, 161, 165, 173]
train episode:54, reward = 0.9193868869544017, state count = 9, state = [6, 79, 82, 98, 113, 116, 156, 158, 165]
train episode:55, reward = 0.9612214922930267, state count = 9, state = [6, 56, 79, 107, 112, 139, 155, 158, 165]
train episode:56, reward = 0.9140542021139468, state count = 9, state = [4, 6, 79, 87, 88, 153, 156, 158, 165]
train episode:57, reward = 0.9224079844561552, state count = 9, state = [6, 24, 79, 109, 115, 153, 156, 158, 165]
train episode:58, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 153, 156, 158, 165, 179]
evaluate episode:5.9, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 153, 156, 158, 165, 174]
