train episode:0, reward = 97.23577235772358, state count = 5, state = [36, 47, 78, 113, 120]
train episode:1, reward = 72.92682926829268, state count = 5, state = [64, 99, 101, 108, 160]
train episode:2, reward = 75.77235772357723, state count = 5, state = [19, 26, 67, 69, 90]
train episode:3, reward = 93.08943089430895, state count = 5, state = [1, 70, 149, 166, 169]
train episode:4, reward = 98.29268292682927, state count = 5, state = [1, 25, 49, 54, 67]
train episode:5, reward = 99.02439024390245, state count = 5, state = [2, 25, 33, 59, 64]
train episode:6, reward = 99.02439024390245, state count = 5, state = [2, 25, 33, 59, 64]
train episode:7, reward = 99.02439024390245, state count = 5, state = [2, 25, 33, 59, 64]
train episode:8, reward = 97.15447154471545, state count = 5, state = [2, 26, 59, 64, 75]
evaluate episode:0.9, reward = 99.02439024390245, state count = 5, state = [2, 25, 33, 59, 64]
train episode:9, reward = 99.51219512195122, state count = 5, state = [15, 25, 64, 85, 127]
train episode:10, reward = 99.51219512195122, state count = 5, state = [25, 38, 99, 146, 172]
train episode:11, reward = 99.91869918699187, state count = 5, state = [25, 26, 64, 95, 156]
train episode:12, reward = 99.43089430894308, state count = 5, state = [25, 49, 76, 127, 150]
train episode:13, reward = 99.02439024390245, state count = 5, state = [25, 33, 59, 64, 68]
train episode:14, reward = 99.02439024390245, state count = 5, state = [25, 33, 59, 64, 68]
train episode:15, reward = 98.45528455284553, state count = 5, state = [16, 25, 33, 68, 88]
train episode:16, reward = 88.69918699186992, state count = 5, state = [39, 41, 121, 149, 178]
train episode:17, reward = 99.91869918699187, state count = 5, state = [25, 54, 64, 99, 138]
train episode:18, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
evaluate episode:1.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:19, reward = 98.3739837398374, state count = 5, state = [25, 30, 54, 79, 99]
train episode:20, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:21, reward = 99.34959349593497, state count = 5, state = [8, 25, 44, 83, 97]
train episode:22, reward = 99.91869918699187, state count = 5, state = [25, 54, 64, 99, 119]
train episode:23, reward = 93.65853658536587, state count = 5, state = [25, 52, 87, 132, 152]
train episode:24, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:25, reward = 99.1869918699187, state count = 5, state = [25, 33, 99, 151, 153]
train episode:26, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:27, reward = 97.3170731707317, state count = 5, state = [25, 31, 54, 99, 132]
train episode:28, reward = 99.34959349593497, state count = 5, state = [26, 69, 124, 127, 144]
evaluate episode:2.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:29, reward = 99.91869918699187, state count = 5, state = [25, 54, 64, 99, 166]
train episode:30, reward = 99.02439024390245, state count = 5, state = [25, 33, 50, 64, 99]
train episode:31, reward = 99.91869918699187, state count = 5, state = [17, 25, 54, 64, 99]
train episode:32, reward = 99.02439024390245, state count = 5, state = [2, 25, 33, 64, 99]
train episode:33, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 174]
train episode:34, reward = 99.1869918699187, state count = 5, state = [25, 54, 66, 123, 151]
train episode:35, reward = 99.26829268292683, state count = 5, state = [25, 33, 34, 64, 99]
train episode:36, reward = 99.59349593495935, state count = 5, state = [25, 99, 134, 142, 167]
train episode:37, reward = 99.02439024390245, state count = 5, state = [2, 25, 33, 64, 99]
train episode:38, reward = 99.59349593495935, state count = 5, state = [25, 26, 33, 68, 146]
evaluate episode:3.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:39, reward = 99.02439024390245, state count = 5, state = [2, 25, 33, 64, 99]
train episode:40, reward = 97.23577235772358, state count = 5, state = [12, 25, 28, 54, 99]
train episode:41, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:42, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:43, reward = 98.78048780487805, state count = 5, state = [25, 31, 33, 84, 99]
train episode:44, reward = 99.02439024390245, state count = 5, state = [2, 25, 33, 64, 99]
train episode:45, reward = 98.78048780487805, state count = 5, state = [25, 33, 78, 99, 114]
train episode:46, reward = 99.43089430894308, state count = 5, state = [25, 33, 49, 54, 99]
train episode:47, reward = 99.1869918699187, state count = 5, state = [25, 33, 99, 143, 152]
train episode:48, reward = 97.80487804878048, state count = 5, state = [26, 58, 67, 69, 84]
evaluate episode:4.9, reward = 99.02439024390245, state count = 5, state = [2, 25, 33, 64, 99]
train episode:49, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 99, 101]
train episode:50, reward = 99.1869918699187, state count = 5, state = [12, 25, 33, 99, 134]
train episode:51, reward = 99.10569105691057, state count = 5, state = [25, 33, 113, 117, 146]
train episode:52, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 99, 159]
train episode:53, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 104]
train episode:54, reward = 99.91869918699187, state count = 5, state = [25, 54, 99, 101, 181]
train episode:55, reward = 98.9430894308943, state count = 5, state = [25, 33, 59, 99, 126]
train episode:56, reward = 99.1869918699187, state count = 5, state = [25, 33, 56, 64, 99]
train episode:57, reward = 99.02439024390245, state count = 5, state = [2, 25, 33, 64, 99]
train episode:58, reward = 81.30081300813008, state count = 1, state = [114]
evaluate episode:5.9, reward = 99.02439024390245, state count = 5, state = [2, 25, 33, 64, 99]
train episode:59, reward = 99.34959349593497, state count = 5, state = [25, 33, 54, 110, 119]
train episode:60, reward = 98.78048780487805, state count = 5, state = [25, 28, 33, 99, 170]
train episode:61, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 174]
train episode:62, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 154]
train episode:63, reward = 99.1869918699187, state count = 5, state = [25, 33, 42, 99, 131]
train episode:64, reward = 99.34959349593497, state count = 5, state = [1, 25, 33, 99, 172]
train episode:65, reward = 99.43089430894308, state count = 5, state = [25, 33, 84, 99, 115]
train episode:66, reward = 93.65853658536587, state count = 5, state = [25, 88, 96, 99, 124]
train episode:67, reward = 99.10569105691057, state count = 5, state = [25, 33, 52, 61, 99]
train episode:68, reward = 99.59349593495935, state count = 5, state = [21, 25, 26, 33, 99]
evaluate episode:6.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:69, reward = 99.26829268292683, state count = 5, state = [21, 25, 33, 67, 99]
train episode:70, reward = 99.43089430894308, state count = 5, state = [25, 33, 46, 99, 100]
train episode:71, reward = 99.1869918699187, state count = 5, state = [25, 33, 64, 99, 182]
train episode:72, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:73, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:74, reward = 99.02439024390245, state count = 5, state = [6, 25, 33, 64, 99]
train episode:75, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:76, reward = 99.34959349593497, state count = 5, state = [4, 25, 33, 36, 99]
train episode:77, reward = 98.78048780487805, state count = 5, state = [25, 33, 43, 99, 110]
train episode:78, reward = 99.43089430894308, state count = 5, state = [25, 33, 84, 99, 115]
evaluate episode:7.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:79, reward = 99.59349593495935, state count = 5, state = [25, 26, 33, 99, 167]
train episode:80, reward = 98.86178861788618, state count = 5, state = [25, 33, 55, 64, 99]
train episode:81, reward = 99.1869918699187, state count = 5, state = [25, 33, 70, 81, 99]
train episode:82, reward = 93.08943089430895, state count = 5, state = [25, 74, 99, 111, 136]
train episode:83, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:84, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:85, reward = 99.59349593495935, state count = 5, state = [22, 25, 27, 99, 169]
train episode:86, reward = 99.02439024390245, state count = 5, state = [25, 33, 42, 64, 99]
train episode:87, reward = 99.26829268292683, state count = 5, state = [25, 32, 33, 64, 99]
train episode:88, reward = 99.1869918699187, state count = 5, state = [25, 33, 60, 99, 169]
evaluate episode:8.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:89, reward = 99.51219512195122, state count = 5, state = [2, 25, 33, 35, 71]
train episode:90, reward = 99.1869918699187, state count = 5, state = [25, 33, 80, 94, 99]
train episode:91, reward = 99.1869918699187, state count = 5, state = [25, 33, 99, 139, 156]
train episode:92, reward = 99.02439024390245, state count = 5, state = [3, 25, 33, 64, 99]
train episode:93, reward = 98.9430894308943, state count = 5, state = [25, 29, 33, 99, 156]
train episode:94, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:95, reward = 99.59349593495935, state count = 5, state = [20, 25, 94, 99, 139]
train episode:96, reward = 99.1869918699187, state count = 5, state = [25, 33, 99, 132, 156]
train episode:97, reward = 99.51219512195122, state count = 5, state = [25, 33, 117, 170, 183]
train episode:98, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 96, 99]
evaluate episode:9.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:99, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 106]
train episode:100, reward = 98.53658536585365, state count = 5, state = [25, 33, 91, 99, 120]
train episode:101, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:102, reward = 99.34959349593497, state count = 5, state = [25, 33, 36, 99, 175]
train episode:103, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:104, reward = 99.1869918699187, state count = 5, state = [11, 25, 33, 99, 107]
train episode:105, reward = 98.6178861788618, state count = 5, state = [25, 33, 89, 99, 119]
train episode:106, reward = 99.34959349593497, state count = 5, state = [25, 33, 36, 99, 151]
train episode:107, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:108, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
evaluate episode:10.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:109, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 129]
train episode:110, reward = 99.1869918699187, state count = 5, state = [25, 33, 99, 159, 173]
train episode:111, reward = 99.26829268292683, state count = 5, state = [25, 33, 58, 64, 99]
train episode:112, reward = 99.26829268292683, state count = 5, state = [25, 33, 138, 171, 175]
train episode:113, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:114, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 173]
train episode:115, reward = 99.1869918699187, state count = 5, state = [25, 33, 74, 99, 169]
train episode:116, reward = 98.9430894308943, state count = 5, state = [25, 33, 64, 97, 99]
train episode:117, reward = 99.1869918699187, state count = 5, state = [13, 25, 33, 72, 138]
train episode:118, reward = 98.78048780487805, state count = 5, state = [25, 33, 41, 104, 114]
evaluate episode:11.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:119, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 177]
train episode:120, reward = 98.3739837398374, state count = 5, state = [25, 33, 88, 171, 173]
train episode:121, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:122, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 156]
train episode:123, reward = 98.3739837398374, state count = 5, state = [25, 33, 91, 99, 181]
train episode:124, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 163]
train episode:125, reward = 99.1869918699187, state count = 5, state = [12, 25, 33, 99, 178]
train episode:126, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 174]
train episode:127, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 133]
train episode:128, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
evaluate episode:12.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:129, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 174]
train episode:130, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:131, reward = 99.43089430894308, state count = 5, state = [3, 25, 71, 81, 99]
train episode:132, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:133, reward = 99.1869918699187, state count = 5, state = [25, 33, 52, 99, 115]
train episode:134, reward = 96.50406504065042, state count = 5, state = [23, 25, 99, 110, 151]
train episode:135, reward = 99.59349593495935, state count = 5, state = [25, 61, 99, 107, 136]
train episode:136, reward = 99.43089430894308, state count = 5, state = [25, 33, 84, 99, 141]
train episode:137, reward = 99.1869918699187, state count = 5, state = [25, 33, 85, 99, 142]
train episode:138, reward = 99.10569105691057, state count = 5, state = [25, 33, 45, 82, 99]
evaluate episode:13.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:139, reward = 99.10569105691057, state count = 5, state = [25, 33, 62, 64, 99]
train episode:140, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 133]
train episode:141, reward = 99.1869918699187, state count = 2, state = [25, 33]
train episode:142, reward = 99.1869918699187, state count = 5, state = [20, 25, 33, 99, 137]
train episode:143, reward = 99.10569105691057, state count = 5, state = [25, 33, 45, 106, 111]
train episode:144, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:145, reward = 99.1869918699187, state count = 5, state = [25, 33, 75, 102, 169]
train episode:146, reward = 99.02439024390245, state count = 5, state = [12, 25, 33, 64, 99]
train episode:147, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 78, 99]
train episode:148, reward = 99.59349593495935, state count = 5, state = [25, 69, 99, 101, 177]
evaluate episode:14.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:149, reward = 99.10569105691057, state count = 5, state = [25, 33, 61, 64, 99]
train episode:150, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 101]
train episode:151, reward = 99.26829268292683, state count = 5, state = [25, 33, 34, 64, 99]
train episode:152, reward = 99.43089430894308, state count = 5, state = [25, 33, 40, 47, 167]
train episode:153, reward = 98.53658536585365, state count = 5, state = [25, 33, 64, 88, 99]
train episode:154, reward = 99.51219512195122, state count = 5, state = [10, 25, 33, 38, 40]
train episode:155, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 169]
train episode:156, reward = 98.3739837398374, state count = 5, state = [25, 33, 35, 91, 99]
