train episode:0, reward = 92.27642276422763, state count = 6, state = [30, 37, 83, 97, 149, 175]
train episode:1, reward = 92.03252032520325, state count = 6, state = [1, 45, 62, 96, 129, 136]
train episode:2, reward = 85.36585365853658, state count = 6, state = [1, 4, 37, 45, 121, 122]
train episode:3, reward = 93.82113821138212, state count = 6, state = [1, 35, 45, 46, 129, 144]
train episode:4, reward = 85.44715447154472, state count = 6, state = [1, 10, 45, 46, 124, 129]
train episode:5, reward = 99.1869918699187, state count = 6, state = [13, 15, 25, 32, 151, 175]
train episode:6, reward = 91.869918699187, state count = 6, state = [9, 35, 129, 144, 154, 174]
train episode:7, reward = 83.41463414634146, state count = 6, state = [5, 21, 110, 129, 144, 174]
train episode:8, reward = 95.04065040650407, state count = 6, state = [9, 18, 62, 129, 144, 174]
evaluate episode:0.9, reward = 80.89430894308943, state count = 6, state = [9, 21, 88, 129, 144, 174]
train episode:9, reward = 74.14634146341463, state count = 6, state = [4, 10, 41, 43, 129, 151]
train episode:10, reward = 95.04065040650407, state count = 6, state = [9, 18, 62, 129, 144, 174]
train episode:11, reward = 98.78048780487805, state count = 6, state = [1, 31, 33, 37, 120, 174]
train episode:12, reward = 96.66666666666667, state count = 6, state = [35, 46, 56, 129, 144, 163]
train episode:13, reward = 93.57723577235772, state count = 6, state = [13, 21, 45, 75, 160, 164]
train episode:14, reward = 91.6260162601626, state count = 6, state = [9, 78, 129, 135, 144, 174]
train episode:15, reward = 99.59349593495935, state count = 6, state = [9, 17, 129, 132, 144, 174]
train episode:16, reward = 91.70731707317074, state count = 6, state = [7, 63, 79, 129, 142, 174]
train episode:17, reward = 97.47967479674797, state count = 6, state = [46, 62, 115, 147, 153, 174]
train episode:18, reward = 91.6260162601626, state count = 6, state = [39, 42, 129, 144, 157, 174]
evaluate episode:1.9, reward = 91.78861788617886, state count = 6, state = [9, 21, 129, 144, 154, 174]
train episode:19, reward = 91.13821138211382, state count = 6, state = [13, 21, 129, 133, 144, 174]
train episode:20, reward = 91.46341463414635, state count = 6, state = [9, 113, 129, 144, 162, 175]
train episode:21, reward = 99.59349593495935, state count = 6, state = [17, 46, 129, 144, 153, 174]
train episode:22, reward = 93.98373983739837, state count = 6, state = [10, 21, 46, 129, 144, 174]
train episode:23, reward = 88.53658536585365, state count = 6, state = [10, 46, 65, 115, 129, 144]
train episode:24, reward = 89.67479674796748, state count = 6, state = [46, 129, 133, 144, 174, 183]
