train episode:0, reward = 95.28455284552845, state count = 7, state = [56, 58, 79, 102, 107, 135, 174]
train episode:1, reward = 91.13821138211382, state count = 7, state = [34, 95, 124, 134, 138, 171, 181]
train episode:2, reward = 85.1219512195122, state count = 7, state = [4, 30, 39, 119, 124, 132, 143]
train episode:3, reward = 93.57723577235772, state count = 7, state = [56, 83, 95, 115, 122, 150, 173]
train episode:4, reward = 98.78048780487805, state count = 7, state = [22, 56, 83, 95, 115, 134, 161]
train episode:5, reward = 96.91056910569105, state count = 7, state = [75, 95, 98, 119, 124, 143, 166]
train episode:6, reward = 89.67479674796748, state count = 7, state = [83, 95, 112, 114, 115, 152, 173]
train episode:7, reward = 96.66666666666667, state count = 7, state = [4, 43, 47, 83, 95, 98, 181]
train episode:8, reward = 87.64227642276423, state count = 7, state = [4, 56, 83, 95, 110, 116, 182]
evaluate episode:0.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:9, reward = 99.51219512195122, state count = 7, state = [12, 22, 47, 56, 83, 95, 115]
train episode:10, reward = 86.99186991869918, state count = 7, state = [27, 56, 83, 95, 109, 118, 152]
train episode:11, reward = 93.33333333333333, state count = 7, state = [27, 37, 56, 83, 95, 115, 154]
train episode:12, reward = 96.42276422764228, state count = 7, state = [4, 15, 27, 83, 95, 124, 167]
train episode:13, reward = 94.6341463414634, state count = 7, state = [4, 22, 83, 95, 113, 115, 120]
train episode:14, reward = 96.17886178861788, state count = 7, state = [50, 56, 75, 83, 95, 115, 124]
train episode:15, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 98, 115]
train episode:16, reward = 98.04878048780488, state count = 7, state = [39, 67, 71, 80, 83, 95, 124]
train episode:17, reward = 91.13821138211382, state count = 7, state = [4, 6, 32, 83, 95, 133, 181]
train episode:18, reward = 96.58536585365853, state count = 7, state = [27, 35, 56, 83, 95, 98, 128]
evaluate episode:1.9, reward = 98.86178861788618, state count = 7, state = [4, 6, 22, 56, 83, 95, 115]
train episode:19, reward = 96.42276422764228, state count = 7, state = [8, 56, 64, 75, 83, 95, 146]
train episode:20, reward = 98.3739837398374, state count = 7, state = [6, 18, 27, 56, 83, 95, 115]
train episode:21, reward = 85.44715447154472, state count = 7, state = [6, 60, 69, 83, 87, 95, 115]
train episode:22, reward = 87.64227642276423, state count = 7, state = [4, 29, 56, 83, 95, 115, 177]
train episode:23, reward = 98.86178861788618, state count = 7, state = [4, 6, 22, 56, 83, 95, 115]
train episode:24, reward = 93.90243902439023, state count = 7, state = [4, 55, 74, 83, 95, 131, 141]
train episode:25, reward = 98.3739837398374, state count = 7, state = [6, 18, 27, 56, 83, 95, 115]
train episode:26, reward = 98.86178861788618, state count = 7, state = [4, 6, 22, 56, 83, 95, 115]
train episode:27, reward = 93.17073170731707, state count = 7, state = [8, 56, 83, 95, 115, 124, 145]
train episode:28, reward = 90.8130081300813, state count = 7, state = [1, 4, 6, 56, 83, 95, 115]
evaluate episode:2.9, reward = 98.86178861788618, state count = 7, state = [4, 6, 22, 56, 83, 95, 115]
train episode:29, reward = 89.83739837398373, state count = 7, state = [4, 9, 56, 83, 95, 136, 139]
train episode:30, reward = 91.13821138211382, state count = 7, state = [4, 6, 30, 56, 83, 95, 115]
train episode:31, reward = 94.3089430894309, state count = 7, state = [4, 6, 56, 83, 95, 115, 143]
train episode:32, reward = 98.69918699186991, state count = 7, state = [4, 40, 56, 83, 95, 115, 166]
train episode:33, reward = 92.60162601626017, state count = 7, state = [4, 56, 80, 83, 95, 115, 124]
train episode:34, reward = 90.48780487804878, state count = 7, state = [4, 6, 44, 56, 83, 95, 115]
train episode:35, reward = 94.39024390243902, state count = 7, state = [4, 6, 56, 83, 95, 115, 142]
train episode:36, reward = 90.8130081300813, state count = 7, state = [4, 6, 24, 56, 83, 95, 115]
train episode:37, reward = 93.33333333333333, state count = 7, state = [4, 6, 56, 58, 83, 95, 115]
train episode:38, reward = 96.01626016260163, state count = 7, state = [53, 56, 75, 83, 95, 106, 115]
evaluate episode:3.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:39, reward = 91.95121951219512, state count = 7, state = [4, 6, 56, 66, 83, 95, 115]
train episode:40, reward = 87.07317073170732, state count = 7, state = [12, 51, 56, 83, 95, 109, 115]
train episode:41, reward = 89.75609756097562, state count = 7, state = [4, 56, 78, 83, 95, 115, 133]
train episode:42, reward = 92.4390243902439, state count = 7, state = [56, 83, 91, 95, 115, 165, 177]
train episode:43, reward = 88.86178861788619, state count = 7, state = [20, 56, 69, 83, 95, 112, 115]
train episode:44, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:45, reward = 89.75609756097562, state count = 7, state = [4, 7, 56, 83, 95, 104, 115]
train episode:46, reward = 80.000, state count = 7, state = [4, 11, 77, 82, 83, 95, 149]
train episode:47, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 129]
train episode:48, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
evaluate episode:4.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:49, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 104, 115]
train episode:50, reward = 99.43089430894308, state count = 7, state = [47, 56, 83, 95, 115, 145, 163]
train episode:51, reward = 94.22764227642276, state count = 7, state = [4, 13, 18, 56, 83, 95, 115]
