train episode:0, reward = 0.6016270501467852, state count = 7, state = [1, 32, 37, 78, 83, 128, 161]
train episode:1, reward = 0.599068368535805, state count = 7, state = [4, 7, 32, 34, 118, 124, 158]
train episode:2, reward = 0.9479635175292922, state count = 7, state = [1, 4, 61, 62, 90, 112, 126]
train episode:3, reward = 0.676412727746902, state count = 7, state = [7, 87, 132, 140, 145, 156, 173]
train episode:4, reward = 0.9433145105527478, state count = 7, state = [1, 62, 87, 88, 122, 172, 181]
train episode:5, reward = 0.7033458710288554, state count = 7, state = [4, 7, 32, 44, 47, 80, 124]
train episode:6, reward = 0.5228813942496968, state count = 7, state = [4, 7, 47, 88, 173, 175, 181]
train episode:7, reward = 0.5823344144878704, state count = 7, state = [78, 90, 102, 159, 165, 170, 180]
train episode:8, reward = 0.5544667569960291, state count = 7, state = [4, 7, 34, 47, 88, 156, 173]
evaluate episode:0.9, reward = 0.5544667569960291, state count = 7, state = [4, 7, 34, 47, 88, 156, 173]
train episode:9, reward = 0.5484256336544823, state count = 7, state = [4, 7, 34, 39, 71, 132, 159]
train episode:10, reward = 0.6018466833935862, state count = 7, state = [4, 32, 47, 50, 80, 156, 161]
train episode:11, reward = 0.6090586711191848, state count = 7, state = [7, 32, 52, 58, 85, 155, 159]
train episode:12, reward = 0.525669396531912, state count = 7, state = [4, 7, 45, 69, 148, 159, 168]
train episode:13, reward = 0.5254379175484771, state count = 7, state = [4, 7, 12, 40, 88, 120, 168]
train episode:14, reward = 0.9077805131387257, state count = 7, state = [1, 4, 7, 76, 87, 138, 159]
train episode:15, reward = 0.9941908952199381, state count = 7, state = [3, 4, 25, 40, 113, 155, 175]
train episode:16, reward = 0.5231139523892316, state count = 7, state = [4, 7, 41, 47, 88, 156, 173]
train episode:17, reward = 0.606265822626706, state count = 7, state = [4, 7, 32, 47, 80, 88, 156]
train episode:18, reward = 0.5475067097529732, state count = 7, state = [34, 77, 129, 159, 163, 180, 181]
evaluate episode:1.9, reward = 0.606265822626706, state count = 7, state = [4, 7, 32, 47, 80, 88, 156]
train episode:19, reward = 0.5888471215509472, state count = 7, state = [32, 34, 69, 98, 147, 159, 180]
train episode:20, reward = 0.5988325829201564, state count = 7, state = [7, 32, 59, 90, 98, 153, 175]
train episode:21, reward = 0.5586571126379172, state count = 7, state = [4, 7, 13, 34, 47, 77, 80]
train episode:22, reward = 0.5916335100951056, state count = 7, state = [4, 24, 32, 47, 69, 80, 156]
train episode:23, reward = 0.606265822626706, state count = 7, state = [4, 7, 32, 47, 80, 88, 156]
train episode:24, reward = 0.6004577945046973, state count = 7, state = [1, 4, 14, 32, 47, 80, 121]
train episode:25, reward = 0.6109121367090935, state count = 7, state = [4, 7, 10, 32, 47, 88, 168]
train episode:26, reward = 0.6032506454952229, state count = 7, state = [4, 7, 32, 34, 43, 47, 88]
train episode:27, reward = 0.6286048709908851, state count = 7, state = [32, 68, 100, 134, 156, 169, 181]
train episode:28, reward = 0.5981386755557154, state count = 7, state = [7, 32, 34, 60, 80, 123, 156]
evaluate episode:2.9, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:29, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:30, reward = 0.6016243522565354, state count = 7, state = [4, 7, 32, 34, 47, 88, 94]
train episode:31, reward = 0.6025540477346716, state count = 7, state = [7, 10, 32, 34, 69, 159, 168]
train episode:32, reward = 0.6078931900254001, state count = 7, state = [4, 7, 31, 32, 47, 88, 156]
train episode:33, reward = 0.5565565502776828, state count = 7, state = [4, 7, 15, 34, 47, 129, 168]
train episode:34, reward = 0.5530714081588199, state count = 7, state = [4, 7, 24, 34, 47, 88, 109]
train episode:35, reward = 0.599068368535805, state count = 7, state = [4, 7, 32, 34, 69, 80, 132]
train episode:36, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 98, 146]
train episode:37, reward = 0.548455787574117, state count = 7, state = [4, 7, 19, 32, 47, 80, 88]
train episode:38, reward = 0.606265822626706, state count = 7, state = [4, 7, 32, 47, 80, 88, 89]
evaluate episode:3.9, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:39, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:40, reward = 0.5544667569960291, state count = 7, state = [4, 7, 34, 47, 88, 102, 145]
train episode:41, reward = 0.5544667569960291, state count = 7, state = [4, 7, 34, 47, 88, 135, 156]
train episode:42, reward = 0.606265822626706, state count = 7, state = [4, 7, 18, 32, 47, 80, 88]
train episode:43, reward = 0.5995340243929248, state count = 7, state = [7, 32, 34, 43, 76, 88, 171]
train episode:44, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 80, 143, 156, 175]
train episode:45, reward = 0.6030132411454242, state count = 7, state = [4, 7, 32, 51, 80, 166, 175]
train episode:46, reward = 0.6023204129370832, state count = 7, state = [4, 7, 32, 34, 47, 80, 88]
train episode:47, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 114, 121]
train episode:48, reward = 0.6109121367090935, state count = 7, state = [7, 10, 32, 36, 47, 88, 95]
evaluate episode:4.9, reward = 0.6018552966580135, state count = 7, state = [1, 7, 32, 34, 47, 80, 88]
train episode:49, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 158]
train episode:50, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 144]
train episode:51, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 39, 47, 80, 88]
train episode:52, reward = 0.5965145356331348, state count = 7, state = [4, 7, 32, 45, 47, 126, 179]
train episode:53, reward = 0.6018552966580135, state count = 7, state = [1, 7, 32, 34, 47, 80, 88]
train episode:54, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 175]
train episode:55, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 88, 154]
train episode:56, reward = 0.6018552966580135, state count = 7, state = [1, 7, 32, 34, 47, 80, 88]
train episode:57, reward = 0.6058007063476363, state count = 7, state = [7, 32, 47, 70, 88, 91, 137]
train episode:58, reward = 0.6511371532461615, state count = 7, state = [7, 32, 34, 47, 58, 61, 88]
evaluate episode:5.9, reward = 0.6018552966580135, state count = 7, state = [7, 24, 32, 34, 47, 80, 88]
train episode:59, reward = 0.5993014662533899, state count = 7, state = [7, 32, 47, 80, 85, 88, 128]
train episode:60, reward = 0.6111506202149919, state count = 7, state = [7, 32, 47, 77, 87, 136, 177]
train episode:61, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 80, 98, 149]
train episode:62, reward = 0.7014859454906264, state count = 7, state = [7, 32, 44, 47, 80, 88, 169]
train episode:63, reward = 0.6413804879584165, state count = 7, state = [7, 32, 34, 47, 50, 68, 80]
train episode:64, reward = 0.6018552966580135, state count = 7, state = [7, 32, 34, 47, 88, 106, 136]
train episode:65, reward = 0.815812442170223, state count = 7, state = [7, 8, 32, 47, 80, 88, 97]
